Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2015,"5,442.00","5,480.00","5,432.00","5,444.71",0.38,210,"1,143,390","1,143,390"
12/29/2015,"5,432.00","5,435.00","5,405.00","5,423.90",-0.09,92,"498,999","498,999"
12/28/2015,"5,400.00","5,435.00","5,400.00","5,428.92",-0.98,130,"705,760","705,760"
12/25/2015,"5,426.00","5,485.00","5,426.00","5,482.64",0.55,55,"301,545","301,545"
12/24/2015,"5,485.00","5,485.00","5,450.00","5,452.88",0.25,78,"425,325","425,325"
12/23/2015,"5,450.00","5,450.00","5,430.00","5,439.52",0.55,21,"114,230","114,230"
12/22/2015,"5,416.00","5,416.00","5,404.00","5,409.99",0.14,161,"871,008","871,008"
12/21/2015,"5,403.00","5,403.00","5,401.00","5,402.54",-0.32,13,"70,233","70,233"
12/18/2015,"5,420.00","5,420.00","5,420.00","5,420.00",0.00,64,"346,880","346,880"
12/17/2015,"5,420.00","5,420.00","5,420.00","5,420.00",-0.01,137,"742,540","742,540"
12/16/2015,"5,420.00","5,421.00","5,420.00","5,420.37",-0.01,108,"585,400","585,400"
12/15/2015,"5,420.00","5,421.00","5,420.00","5,420.91",0.04,236,"1,279,334","1,279,334"
12/14/2015,"5,417.00","5,421.00","5,416.00","5,418.83",-0.07,72,"390,156","390,156"
12/11/2015,"5,450.00","5,450.00","5,401.00","5,422.45",0.42,138,"748,298","748,298"
12/10/2015,"5,400.00","5,400.00","5,400.00","5,400.00",0.00,136,"734,400","734,400"
12/9/2015,"5,400.00","5,400.00","5,400.00","5,400.00",-0.02,84,"453,600","453,600"
12/7/2015,"5,400.00","5,449.00","5,400.00","5,400.86",-0.11,145,"783,125","783,125"
12/4/2015,"5,407.00","5,408.00","5,406.00","5,407.05",0.08,86,"465,006","465,006"
12/3/2015,"5,403.00","5,403.00","5,402.00","5,402.62",-0.01,16,"86,442","86,442"
12/1/2015,"5,403.00","5,403.00","5,403.00","5,403.00",0.00,10,"54,030","54,030"
11/30/2015,"5,402.00","5,403.00","5,402.00","5,402.80",-0.02,51,"275,543","275,543"
