Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,353.00,,,353.00,0.00,0,0,0
12/29/2014,353.00,,,353.00,0.00,0,0,0
12/26/2014,353.00,,,353.00,0.00,0,0,0
12/25/2014,353.00,,,353.00,0.00,0,0,0
12/24/2014,353.00,,,353.00,0.00,0,0,0
12/23/2014,353.00,,,353.00,0.00,0,0,0
12/22/2014,353.00,,,353.00,0.00,0,0,0
12/19/2014,353.00,,,353.00,0.00,0,0,0
12/18/2014,353.00,,,353.00,0.00,0,0,0
12/17/2014,353.00,,,353.00,0.00,0,0,0
12/16/2014,353.00,,,353.00,0.00,0,0,0
12/15/2014,353.00,,,353.00,0.00,0,0,0
12/12/2014,353.00,,,353.00,0.00,0,0,0
12/11/2014,353.00,,,353.00,0.00,0,0,0
12/10/2014,353.00,,,353.00,0.00,0,0,0
12/9/2014,353.00,,,353.00,0.00,0,0,0
12/5/2014,353.00,,,353.00,0.00,0,0,0
12/4/2014,353.00,,,353.00,0.00,0,0,0
12/2/2014,353.00,,,353.00,0.00,0,0,0
12/1/2014,353.00,,,353.00,0.00,0,0,0
11/28/2014,353.00,,,353.00,0.00,0,0,0
11/27/2014,353.00,,,353.00,0.00,0,0,0
11/26/2014,353.00,,,353.00,0.00,0,0,0
11/25/2014,353.00,,,353.00,0.00,0,0,0
11/24/2014,353.00,,,353.00,0.00,0,0,0
11/21/2014,353.00,,,353.00,0.00,0,0,0
11/20/2014,353.00,,,353.00,0.00,0,0,0
11/19/2014,353.00,,,353.00,0.00,0,0,0
11/18/2014,353.00,,,353.00,0.00,0,0,0
11/17/2014,353.00,,,353.00,0.00,0,0,0
12/29/2016,700.00,700.00,700.00,700.00,0.00,66,"46,200","46,200"
12/28/2016,700.00,,,700.00,0.00,0,0,0
12/27/2016,700.00,,,700.00,0.00,0,0,0
12/26/2016,700.00,,,700.00,0.00,0,0,0
12/23/2016,700.00,700.00,700.00,700.00,0.00,62,"43,400","43,400"
12/22/2016,700.00,,,700.00,0.00,0,0,0
12/21/2016,700.00,,,700.00,0.00,0,0,0
12/20/2016,700.00,,,700.00,0.00,0,0,0
12/19/2016,700.00,,,700.00,0.00,0,0,0
12/16/2016,700.00,700.00,700.00,700.00,0.00,155,"108,500","108,500"
12/15/2016,700.00,,,700.00,0.00,0,0,0
12/14/2016,700.00,,,700.00,0.00,0,0,0
12/13/2016,700.00,700.00,700.00,700.00,0.00,198,"138,600","138,600"
12/12/2016,700.00,,,700.00,0.00,0,0,0
12/9/2016,700.00,,,700.00,0.00,0,0,0
12/7/2016,700.00,,,700.00,0.00,0,0,0
12/6/2016,700.00,,,700.00,0.00,0,0,0
12/5/2016,700.00,,,700.00,0.00,0,0,0
12/2/2016,700.00,,,700.00,0.00,0,0,0
12/1/2016,700.00,,,700.00,0.00,0,0,0
11/29/2016,700.00,,,700.00,0.00,0,0,0
11/28/2016,700.00,700.00,700.00,700.00,-0.14,82,"57,400","57,400"
11/25/2016,701.00,,,701.00,0.00,0,0,0
11/24/2016,701.00,701.00,701.00,701.00,0.14,440,"308,440","308,440"
11/23/2016,700.00,,,700.00,0.00,0,0,0
11/22/2016,700.00,,,700.00,0.00,0,0,0
11/21/2016,700.00,,,700.00,0.00,0,0,0
11/18/2016,700.00,700.00,700.00,700.00,-26.39,478,"334,600","334,600"
11/17/2016,951.00,,,951.00,0.00,0,0,0
11/16/2016,951.00,,,951.00,0.00,0,0,0
11/15/2016,951.00,,,951.00,0.00,0,0,0
11/14/2016,951.00,951.00,951.00,951.00,35.66,60,"57,060","57,060"
11/11/2016,701.00,701.00,701.00,701.00,16.64,149,"104,449","104,449"
11/10/2016,601.00,,,601.00,0.00,0,0,0
11/9/2016,601.00,,,601.00,0.00,0,0,0
11/8/2016,601.00,,,601.00,0.00,0,0,0
11/7/2016,601.00,,,601.00,0.00,0,0,0
11/4/2016,601.00,,,601.00,0.00,0,0,0
11/3/2016,601.00,,,601.00,0.00,0,0,0
11/2/2016,601.00,,,601.00,0.00,0,0,0
11/1/2016,601.00,,,601.00,0.00,0,0,0
10/31/2016,601.00,601.00,601.00,601.00,0.00,30,"18,030","18,030"
10/28/2016,601.00,,,601.00,0.00,0,0,0
10/27/2016,601.00,601.00,601.00,601.00,19.48,156,"93,756","93,756"
10/26/2016,503.00,503.00,503.00,503.00,19.76,140,"70,420","70,420"
10/25/2016,420.00,420.00,420.00,420.00,2.94,135,"56,700","56,700"
10/21/2016,408.00,,,408.00,0.00,0,0,0
10/20/2016,408.00,,,408.00,0.00,0,0,0
10/19/2016,408.00,,,408.00,0.00,0,0,0
10/18/2016,408.00,,,408.00,0.00,0,0,0
10/17/2016,408.00,,,408.00,0.00,0,0,0
10/14/2016,408.00,,,408.00,0.00,0,0,0
10/13/2016,408.00,,,408.00,0.00,0,0,0
10/12/2016,408.00,,,408.00,0.00,0,0,0
10/10/2016,408.00,,,408.00,0.00,0,0,0
10/7/2016,408.00,,,408.00,0.00,0,0,0
10/6/2016,408.00,,,408.00,0.00,0,0,0
10/5/2016,408.00,,,408.00,0.00,0,0,0
10/4/2016,408.00,,,408.00,0.00,0,0,0
10/3/2016,408.00,,,408.00,0.00,0,0,0
9/30/2016,408.00,,,408.00,0.00,0,0,0
9/29/2016,408.00,,,408.00,0.00,0,0,0
9/28/2016,408.00,,,408.00,0.00,0,0,0
9/27/2016,408.00,,,408.00,0.00,0,0,0
9/26/2016,408.00,,,408.00,0.00,0,0,0
9/23/2016,408.00,,,408.00,0.00,0,0,0
9/22/2016,408.00,,,408.00,0.00,0,0,0
9/21/2016,408.00,,,408.00,0.00,0,0,0
9/20/2016,408.00,,,408.00,0.00,0,0,0
9/19/2016,408.00,,,408.00,0.00,0,0,0
9/16/2016,408.00,,,408.00,0.00,0,0,0
9/15/2016,408.00,,,408.00,0.00,0,0,0
9/14/2016,408.00,408.00,408.00,408.00,-2.86,20,"8,160","8,160"
9/13/2016,420.00,,,420.00,0.00,0,0,0
9/12/2016,420.00,,,420.00,0.00,0,0,0
9/9/2016,420.00,420.00,420.00,420.00,2.94,50,"21,000","21,000"
9/7/2016,408.00,,,408.00,0.00,0,0,0
9/6/2016,408.00,,,408.00,0.00,0,0,0
9/5/2016,408.00,,,408.00,0.00,0,0,0
9/2/2016,408.00,,,408.00,0.00,0,0,0
9/1/2016,408.00,,,408.00,0.00,0,0,0
8/31/2016,408.00,,,408.00,0.00,0,0,0
8/30/2016,408.00,,,408.00,0.00,0,0,0
8/29/2016,408.00,,,408.00,0.00,0,0,0
8/26/2016,408.00,,,408.00,0.00,0,0,0
8/25/2016,408.00,,,408.00,0.00,0,0,0
8/24/2016,408.00,,,408.00,0.00,0,0,0
8/23/2016,408.00,,,408.00,0.00,0,0,0
8/22/2016,408.00,,,408.00,0.00,0,0,0
8/19/2016,408.00,,,408.00,0.00,0,0,0
8/18/2016,408.00,,,408.00,0.00,0,0,0
8/17/2016,408.00,,,408.00,0.00,0,0,0
8/16/2016,408.00,,,408.00,0.00,0,0,0
8/15/2016,408.00,,,408.00,0.00,0,0,0
8/12/2016,408.00,,,408.00,0.00,0,0,0
8/11/2016,408.00,,,408.00,0.00,0,0,0
8/10/2016,408.00,,,408.00,0.00,0,0,0
8/9/2016,408.00,,,408.00,0.00,0,0,0
8/8/2016,408.00,,,408.00,0.00,0,0,0
8/5/2016,408.00,,,408.00,0.00,0,0,0
8/4/2016,408.00,,,408.00,0.00,0,0,0
8/3/2016,408.00,,,408.00,0.00,0,0,0
8/1/2016,408.00,,,408.00,0.00,0,0,0
7/29/2016,408.00,,,408.00,0.00,0,0,0
7/28/2016,408.00,,,408.00,0.00,0,0,0
7/27/2016,408.00,,,408.00,0.00,0,0,0
7/26/2016,408.00,,,408.00,0.00,0,0,0
7/25/2016,408.00,408.00,408.00,408.00,2.77,80,"32,640","32,640"
7/22/2016,397.00,,,397.00,0.00,0,0,0
7/21/2016,397.00,,,397.00,0.00,0,0,0
7/20/2016,397.00,397.00,397.00,397.00,-1.00,7,"2,779","2,779"
7/19/2016,401.00,,,401.00,0.00,0,0,0
7/18/2016,401.00,,,401.00,0.00,0,0,0
7/15/2016,401.00,401.00,401.00,401.00,-2.91,"1,203","482,403","482,403"
7/14/2016,413.00,,,413.00,0.00,0,0,0
7/13/2016,413.00,413.00,413.00,413.00,3.25,27,"11,151","11,151"
7/12/2016,400.00,,,400.00,0.00,0,0,0
7/11/2016,400.00,,,400.00,0.00,0,0,0
7/8/2016,400.00,,,400.00,0.00,0,0,0
7/7/2016,400.00,400.00,400.00,400.00,0.00,400,"160,000","160,000"
7/6/2016,400.00,,,400.00,0.00,0,0,0
7/4/2016,400.00,400.00,400.00,400.00,0.76,80,"32,000","32,000"
7/1/2016,397.00,,,397.00,0.00,0,0,0
6/30/2016,397.00,,,397.00,0.00,0,0,0
6/29/2016,397.00,,,397.00,0.00,0,0,0
6/28/2016,397.00,,,397.00,0.00,0,0,0
6/27/2016,397.00,,,397.00,0.00,0,0,0
6/24/2016,397.00,,,397.00,0.00,0,0,0
6/23/2016,397.00,,,397.00,0.00,0,0,0
6/22/2016,397.00,,,397.00,0.00,0,0,0
6/21/2016,397.00,,,397.00,0.00,0,0,0
6/20/2016,397.00,,,397.00,0.00,0,0,0
6/16/2016,397.00,,,397.00,0.00,0,0,0
6/15/2016,397.00,,,397.00,0.00,0,0,0
6/14/2016,397.00,397.00,397.00,397.00,0.00,70,"27,790","27,790"
6/13/2016,397.00,,,397.00,0.00,0,0,0
6/10/2016,397.00,,,397.00,0.00,0,0,0
6/9/2016,397.00,,,397.00,0.00,0,0,0
6/8/2016,397.00,,,397.00,0.00,0,0,0
6/7/2016,397.00,,,397.00,0.00,0,0,0
6/6/2016,397.00,,,397.00,0.00,0,0,0
6/3/2016,397.00,,,397.00,0.00,0,0,0
6/2/2016,397.00,397.00,397.00,397.00,0.25,100,"39,700","39,700"
6/1/2016,396.00,,,396.00,0.00,0,0,0
5/31/2016,396.00,396.00,396.00,396.00,4.21,38,"15,048","15,048"
5/30/2016,380.00,,,380.00,0.00,0,0,0
5/27/2016,380.00,,,380.00,0.00,0,0,0
5/26/2016,380.00,380.00,380.00,380.00,5.26,60,"22,800","22,800"
5/25/2016,361.00,,,361.00,0.00,0,0,0
5/23/2016,361.00,,,361.00,0.00,0,0,0
5/20/2016,361.00,,,361.00,0.00,0,0,0
5/19/2016,361.00,,,361.00,0.00,0,0,0
5/18/2016,361.00,,,361.00,0.00,0,0,0
5/17/2016,361.00,,,361.00,0.00,0,0,0
5/16/2016,361.00,,,361.00,0.00,0,0,0
5/13/2016,361.00,,,361.00,0.00,0,0,0
5/12/2016,361.00,,,361.00,0.00,0,0,0
