Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"56,000.00","56,000.00","55,000.00","55,500.00",-0.89,4,"222,000","222,000"
12/29/2014,"56,000.00",,,"56,000.00",0.00,0,0,"75,020,000"
12/26/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/25/2014,"56,000.00",,,"56,000.00",0.00,0,0,"75,717,200"
12/24/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/23/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/22/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/19/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/18/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/17/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/16/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/15/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/12/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/11/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/10/2014,"56,000.00","56,000.00","56,000.00","56,000.00",-1.75,5,"280,000","280,000"
12/9/2014,"57,000.00",,,"57,000.00",0.00,0,0,0
12/5/2014,"57,000.00",,,"57,000.00",0.00,0,0,0
12/4/2014,"57,000.00","57,000.00","57,000.00","57,000.00",0.00,4,"228,000","228,000"
12/2/2014,"57,000.00","57,000.00","57,000.00","57,000.00",3.64,2,"114,000","114,000"
12/1/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/28/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/27/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/26/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/25/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/24/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/21/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/20/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/19/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/18/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
11/17/2014,"55,000.00",,,"55,000.00",0.00,0,0,0
12/29/2016,"42,000.00","42,000.00","42,000.00","42,000.00",4.87,1,"42,000","5,602,000"
12/28/2016,"40,050.00",,,"40,050.00",0.00,0,0,0
12/27/2016,"40,050.00",,,"40,050.00",0.00,0,0,0
12/26/2016,"40,050.00",,,"40,050.00",0.00,0,0,0
12/23/2016,"40,050.00","40,050.00","40,050.00","40,050.00",-6.86,6,"240,300","240,300"
12/22/2016,"43,000.00",,,"43,000.00",0.00,0,0,0
12/21/2016,"43,000.00",,,"43,000.00",0.00,0,0,0
