Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,595.00,596.00,594.00,594.91,-0.18,"3,013","1,792,458","1,792,458"
12/29/2014,595.00,597.00,595.00,596.00,2.67,"1,000","596,000","596,000"
12/26/2014,581.00,585.00,580.00,580.50,2.57,"1,491","865,530","865,530"
12/25/2014,570.00,570.00,560.00,565.93,-0.71,123,"69,610","69,610"
12/24/2014,570.00,570.00,570.00,570.00,1.38,"2,630","1,499,100","1,499,100"
12/23/2014,566.00,570.00,560.00,562.25,0.40,"1,530","860,240","860,240"
12/22/2014,560.00,560.00,560.00,560.00,-1.75,500,"280,000","280,000"
12/19/2014,570.00,570.00,570.00,570.00,0.13,200,"114,000","114,000"
12/18/2014,555.00,,,569.27,0.00,0,0,0
12/17/2014,555.00,570.00,555.00,569.27,-0.13,409,"232,830","232,830"
12/16/2014,570.00,570.00,570.00,570.00,-1.59,350,"199,500","199,500"
12/15/2014,580.00,,,579.23,0.00,0,0,0
12/12/2014,580.00,581.00,560.00,579.23,1.55,"17,741","10,276,138","10,276,138"
12/11/2014,560.00,,,570.40,0.00,0,0,0
12/10/2014,560.00,,,570.40,0.00,0,0,0
12/9/2014,560.00,573.00,560.00,570.40,-0.27,500,"285,200","285,200"
12/5/2014,575.00,575.00,571.00,571.92,0.34,"2,658","1,520,154","1,520,154"
12/4/2014,570.00,570.00,570.00,570.00,-0.02,622,"354,540","354,540"
12/2/2014,573.00,573.00,562.00,570.13,1.45,"5,522","3,148,265","3,148,265"
12/1/2014,562.00,562.00,562.00,562.00,-1.40,100,"56,200","56,200"
11/28/2014,570.00,570.00,570.00,570.00,0.00,778,"443,460","443,460"
11/27/2014,570.00,570.00,570.00,570.00,0.00,100,"57,000","57,000"
11/26/2014,570.00,570.00,570.00,570.00,0.00,20,"11,400","11,400"
11/25/2014,570.00,570.00,570.00,570.00,-0.52,310,"176,700","176,700"
11/24/2014,573.00,,,573.00,0.00,0,0,0
11/21/2014,573.00,573.00,573.00,573.00,0.47,329,"188,517","188,517"
11/20/2014,570.00,579.00,569.00,570.33,1.30,"6,991","3,987,210","3,987,210"
11/19/2014,570.00,570.00,560.00,562.99,-2.03,428,"240,960","240,960"
11/18/2014,575.00,575.00,574.00,574.67,-0.15,"1,194","686,156","686,156"
11/17/2014,580.00,580.00,575.00,575.51,0.04,390,"224,450","224,450"
12/30/2015,490.00,490.00,490.00,490.00,0.00,"2,740","1,342,600","1,342,600"
