Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"1,970.00","1,970.00","1,951.00","1,951.66",0.08,551,"1,075,362","1,075,362"
12/29/2014,"1,950.00","1,951.00","1,950.00","1,950.18",0.78,550,"1,072,600","1,072,600"
12/26/2014,"1,915.00","2,035.00","1,915.00","1,935.17",-4.60,115,"222,545","222,545"
12/25/2014,"2,020.00","2,029.00","2,020.00","2,028.54",-0.07,239,"484,822","484,822"
12/24/2014,"2,030.00","2,030.00","2,030.00","2,030.00",0.01,216,"438,480","438,480"
12/23/2014,"2,030.00","2,040.00","2,020.00","2,029.82",-0.37,285,"578,500","578,500"
12/22/2014,"2,036.00","2,050.00","2,036.00","2,037.32",-0.64,508,"1,034,960","1,034,960"
12/19/2014,"2,051.00","2,051.00","2,050.00","2,050.54",0.00,368,"754,598","754,598"
12/18/2014,"2,050.00","2,052.00","2,050.00","2,050.60",-0.28,192,"393,715","393,715"
12/17/2014,"2,051.00","2,100.00","2,050.00","2,056.44",-1.21,200,"411,289","411,289"
12/16/2014,"2,099.00","2,099.00","2,050.00","2,081.68",0.08,120,"249,802","249,802"
12/15/2014,"2,080.00",,,"2,080.00",0.00,0,0,0
12/12/2014,"2,080.00","2,080.00","2,080.00","2,080.00",0.00,1,"2,080","2,080"
12/11/2014,"2,080.00","2,080.00","2,080.00","2,080.00",-0.44,10,"20,800","20,800"
12/10/2014,"2,090.00","2,090.00","2,050.00","2,089.24",0.85,"11,015","23,012,990","23,012,990"
12/9/2014,"2,080.00","2,080.00","2,050.00","2,071.73",0.91,742,"1,537,225","1,537,225"
12/5/2014,"2,050.00","2,070.00","2,050.00","2,053.07",-1.53,116,"238,156","238,156"
12/4/2014,"2,085.00","2,085.00","2,085.00","2,085.00",-0.36,179,"373,215","373,215"
12/2/2014,"2,085.00",,,"2,092.50",0.00,0,0,0
12/1/2014,"2,085.00","2,100.00","2,085.00","2,092.50",-0.30,20,"41,850","41,850"
11/28/2014,"2,099.00","2,100.00","2,086.00","2,098.82",-0.06,263,"551,990","551,990"
11/27/2014,"2,100.00","2,100.00","2,100.00","2,100.00",-1.13,87,"182,700","182,700"
11/26/2014,"2,124.00","2,124.00","2,124.00","2,124.00",-0.05,70,"148,680","148,680"
11/25/2014,"2,125.00","2,125.00","2,125.00","2,125.00",1.19,110,"233,750","233,750"
11/24/2014,"2,100.00","2,100.00","2,100.00","2,100.00",0.25,778,"1,633,800","1,633,800"
11/21/2014,"2,100.00","2,100.00","2,087.00","2,094.84",0.16,63,"131,975","131,975"
11/20/2014,"2,085.00","2,100.00","2,085.00","2,091.40",0.38,50,"104,570","104,570"
11/19/2014,"2,083.00","2,086.00","2,083.00","2,083.47",-2.95,581,"1,210,497","1,210,497"
11/18/2014,"2,110.00","2,150.00","2,110.00","2,146.77",-0.16,413,"886,615","886,615"
11/17/2014,"2,150.00","2,151.00","2,150.00","2,150.22",-0.25,244,"524,653","524,653"
12/30/2015,"2,300.00","2,349.00","2,275.00","2,295.34",-0.18,529,"1,214,233","1,214,233"
12/29/2015,"2,300.00","2,300.00","2,290.00","2,299.41",0.97,656,"1,508,410","1,508,410"
12/28/2015,"2,289.00","2,300.00","2,250.00","2,277.21",1.14,"3,369","7,671,922","7,671,922"
12/25/2015,"2,250.00","2,255.00","2,250.00","2,251.49",0.07,567,"1,276,595","1,276,595"
12/24/2015,"2,252.00","2,252.00","2,249.00","2,250.00",0.00,"4,010","9,022,494","9,022,494"
12/23/2015,"2,250.00","2,250.00","2,250.00","2,250.00",0.00,283,"636,750","636,750"
12/22/2015,"2,250.00","2,250.00","2,249.00","2,249.99",-0.08,"7,446","16,753,432","16,753,432"
12/21/2015,"2,250.00","2,274.00","2,250.00","2,251.80",-1.45,400,"900,720","900,720"
12/18/2015,"2,285.00","2,285.00","2,285.00","2,285.00",1.39,84,"191,940","191,940"
12/17/2015,"2,250.00","2,254.00","2,249.00","2,253.57",-1.04,"2,706","6,098,166","6,098,166"
12/16/2015,"2,261.00","2,280.00","2,261.00","2,277.29",-0.24,210,"478,230","478,230"
12/15/2015,"2,260.00","2,300.00","2,260.00","2,282.73",0.07,"1,450","3,309,956","11,975,956"
12/14/2015,"2,285.00","2,294.00","2,271.00","2,281.07",0.49,532,"1,213,531","1,213,531"
12/11/2015,"2,270.00","2,270.00","2,270.00","2,270.00",0.69,200,"454,000","454,000"
12/10/2015,"2,260.00","2,294.00","2,252.00","2,254.47",-0.04,"1,168","2,633,216","2,633,216"
12/9/2015,"2,260.00","2,270.00","2,252.00","2,255.26",0.23,756,"1,704,980","1,704,980"
12/7/2015,"2,250.00","2,250.00","2,250.00","2,250.00",-0.04,534,"1,201,500","1,201,500"
12/4/2015,"2,250.00","2,255.00","2,250.00","2,251.00",-0.01,376,"846,375","3,096,375"
12/3/2015,"2,270.00","2,270.00","2,250.00","2,251.29",0.82,"4,390","9,883,154","9,883,154"
12/1/2015,"2,300.00","2,300.00","2,190.00","2,232.97",2.80,"6,006","13,411,207","13,411,207"
11/30/2015,"2,172.00","2,173.00","2,172.00","2,172.09",0.40,583,"1,266,326","1,266,326"
11/27/2015,"2,170.00","2,170.00","2,157.00","2,163.50",0.16,200,"432,700","432,700"
11/26/2015,"2,157.00","2,180.00","2,157.00","2,159.99",-2.49,77,"166,319","166,319"
11/25/2015,"2,180.00","2,250.00","2,180.00","2,215.12",-1.36,798,"1,767,668","1,767,668"
11/24/2015,"2,250.00","2,250.00","2,191.00","2,245.66",2.77,183,"410,955","410,955"
11/23/2015,"2,200.00","2,215.00","2,160.00","2,185.22",1.44,"1,180","2,578,563","2,578,563"
11/20/2015,"2,155.00","2,200.00","2,131.00","2,154.16",4.09,"1,540","3,317,404","3,317,404"
11/19/2015,"2,090.00","2,090.00","2,049.00","2,069.53",1.97,"1,021","2,112,987","2,112,987"
