Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/29/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/26/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/25/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/24/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/23/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/22/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/19/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/18/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/17/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/16/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/15/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/12/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/11/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/10/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/9/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/5/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/4/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/2/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/1/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/28/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/27/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/26/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/25/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/24/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/21/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/20/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/19/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/18/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
11/17/2014,"10,012.00",,,"10,012.00",0.00,0,0,0
12/29/2016,"8,604.00",,,"8,604.00",0.00,0,0,0
12/28/2016,"8,604.00",,,"8,604.00",0.00,0,0,0
12/27/2016,"8,604.00",,,"8,604.00",0.00,0,0,0
12/26/2016,"8,604.00",,,"8,604.00",0.00,0,0,0
12/23/2016,"8,604.00",,,"8,604.00",0.00,0,0,0
12/22/2016,"8,604.00",,,"8,604.00",0.00,0,0,0
12/21/2016,"8,604.00",,,"8,604.00",0.00,0,0,0
12/20/2016,"8,604.00",,,"8,604.00",0.00,0,0,0
