Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,281.00,281.00,281.00,281.00,7.25,400,"112,400","112,400"
12/29/2014,262.00,,,262.00,0.00,0,0,0
12/26/2014,262.00,,,262.00,0.00,0,0,0
12/25/2014,262.00,,,262.00,0.00,0,0,0
12/24/2014,262.00,,,262.00,0.00,0,0,0
12/23/2014,262.00,,,262.00,0.00,0,0,0
12/22/2014,262.00,,,262.00,0.00,0,0,0
12/19/2014,262.00,,,262.00,0.00,0,0,0
12/18/2014,262.00,,,262.00,0.00,0,0,0
12/17/2014,262.00,,,262.00,0.00,0,0,0
12/16/2014,262.00,,,262.00,0.00,0,0,0
12/15/2014,262.00,,,262.00,0.00,0,0,0
12/12/2014,262.00,,,262.00,0.00,0,0,0
12/11/2014,262.00,,,262.00,0.00,0,0,0
12/10/2014,262.00,,,262.00,0.00,0,0,0
12/9/2014,262.00,,,262.00,0.00,0,0,0
12/5/2014,262.00,,,262.00,0.00,0,0,0
12/4/2014,262.00,262.00,262.00,262.00,4.80,475,"124,450","124,450"
12/2/2014,250.00,,,250.00,0.00,0,0,0
12/1/2014,250.00,,,250.00,0.00,0,0,0
11/28/2014,250.00,,,250.00,0.00,0,0,0
11/27/2014,250.00,,,250.00,0.00,0,0,0
11/26/2014,250.00,,,250.00,0.00,0,0,0
11/25/2014,250.00,,,250.00,0.00,0,0,0
11/24/2014,250.00,,,250.00,0.00,0,0,0
11/21/2014,250.00,,,250.00,0.00,0,0,0
11/20/2014,250.00,,,250.00,0.00,0,0,0
11/19/2014,250.00,,,250.00,0.00,0,0,0
11/18/2014,250.00,,,250.00,0.00,0,0,0
11/17/2014,250.00,,,250.00,0.00,0,0,0
12/29/2016,246.00,,,246.00,0.00,0,0,0
12/28/2016,246.00,,,246.00,0.00,0,0,0
12/27/2016,246.00,,,246.00,0.00,0,0,0
12/26/2016,246.00,,,246.00,0.00,0,0,0
12/23/2016,246.00,,,246.00,0.00,0,0,0
12/22/2016,246.00,,,246.00,0.00,0,0,0
12/21/2016,246.00,,,246.00,0.00,0,0,0
12/20/2016,246.00,,,246.00,0.00,0,0,0
12/19/2016,246.00,,,246.00,0.00,0,0,0
12/16/2016,246.00,,,246.00,0.00,0,0,0
12/15/2016,246.00,,,246.00,0.00,0,0,0
12/14/2016,246.00,,,246.00,0.00,0,0,0
12/13/2016,246.00,,,246.00,0.00,0,0,0
12/12/2016,246.00,,,246.00,0.00,0,0,0
12/9/2016,246.00,,,246.00,0.00,0,0,0
12/7/2016,246.00,,,246.00,0.00,0,0,0
12/6/2016,246.00,,,246.00,0.00,0,0,0
12/5/2016,246.00,,,246.00,0.00,0,0,0
12/2/2016,246.00,,,246.00,0.00,0,0,0
12/1/2016,246.00,,,246.00,0.00,0,0,0
11/29/2016,246.00,,,246.00,0.00,0,0,0
11/28/2016,246.00,246.00,246.00,246.00,6.96,750,"184,500","184,500"
11/25/2016,230.00,,,230.00,0.00,0,0,0
11/24/2016,230.00,,,230.00,0.00,0,0,0
11/23/2016,230.00,,,230.00,0.00,0,0,0
11/22/2016,230.00,,,230.00,0.00,0,0,0
11/21/2016,230.00,,,230.00,0.00,0,0,0
11/18/2016,230.00,230.00,230.00,230.00,3.60,500,"115,000","115,000"
11/17/2016,222.00,222.00,222.00,222.00,11.00,"2,605","578,310","578,310"
11/16/2016,200.00,200.00,200.00,200.00,14.94,560,"112,000","112,000"
11/15/2016,174.00,,,174.00,0.00,0,0,0
11/14/2016,174.00,,,174.00,0.00,0,0,0
11/11/2016,174.00,,,174.00,0.00,0,0,0
11/10/2016,174.00,,,174.00,0.00,0,0,0
11/9/2016,174.00,,,174.00,0.00,0,0,0
11/8/2016,174.00,,,174.00,0.00,0,0,0
11/7/2016,174.00,,,174.00,0.00,0,0,0
11/4/2016,174.00,,,174.00,0.00,0,0,0
11/3/2016,174.00,,,174.00,0.00,0,0,0
11/2/2016,174.00,,,174.00,0.00,0,0,0
11/1/2016,174.00,,,174.00,0.00,0,0,0
10/31/2016,174.00,174.00,174.00,174.00,2.96,358,"62,292","62,292"
10/28/2016,169.00,,,169.00,0.00,0,0,0
10/27/2016,169.00,,,169.00,0.00,0,0,0
10/26/2016,169.00,,,169.00,0.00,0,0,0
10/25/2016,169.00,,,169.00,0.00,0,0,0
10/21/2016,169.00,,,169.00,0.00,0,0,0
10/20/2016,169.00,169.00,169.00,169.00,0.00,150,"25,350","25,350"
10/19/2016,169.00,,,169.00,0.00,0,0,0
10/18/2016,169.00,,,169.00,0.00,0,0,0
10/17/2016,169.00,,,169.00,0.00,0,0,0
10/14/2016,169.00,,,169.00,0.00,0,0,0
10/13/2016,169.00,,,169.00,0.00,0,0,0
10/12/2016,169.00,,,169.00,0.00,0,0,0
10/10/2016,169.00,,,169.00,0.00,0,0,0
10/7/2016,169.00,,,169.00,0.00,0,0,0
10/6/2016,169.00,169.00,169.00,169.00,-7.65,160,"27,040","27,040"
10/5/2016,183.00,,,183.00,0.00,0,0,0
10/4/2016,183.00,,,183.00,0.00,0,0,0
10/3/2016,183.00,,,183.00,0.00,0,0,0
9/30/2016,183.00,,,183.00,0.00,0,0,0
9/29/2016,183.00,,,183.00,0.00,0,0,0
9/28/2016,183.00,,,183.00,0.00,0,0,0
9/27/2016,183.00,,,183.00,0.00,0,0,0
9/26/2016,183.00,,,183.00,0.00,0,0,0
9/23/2016,183.00,,,183.00,0.00,0,0,0
9/22/2016,183.00,,,183.00,0.00,0,0,0
9/21/2016,183.00,,,183.00,0.00,0,0,0
9/20/2016,183.00,,,183.00,0.00,0,0,0
9/19/2016,183.00,,,183.00,0.00,0,0,0
9/16/2016,183.00,,,183.00,0.00,0,0,0
9/15/2016,183.00,,,183.00,0.00,0,0,0
9/14/2016,183.00,,,183.00,0.00,0,0,0
9/13/2016,183.00,,,183.00,0.00,0,0,0
9/12/2016,183.00,183.00,183.00,183.00,10.24,150,"27,450","27,450"
9/9/2016,166.00,166.00,166.00,166.00,21.17,80,"13,280","13,280"
9/7/2016,137.00,,,137.00,0.00,0,0,0
9/6/2016,137.00,,,137.00,0.00,0,0,0
9/5/2016,137.00,,,137.00,0.00,0,0,0
9/2/2016,137.00,,,137.00,0.00,0,0,0
9/1/2016,137.00,,,137.00,0.00,0,0,0
8/31/2016,137.00,,,137.00,0.00,0,0,0
8/30/2016,137.00,137.00,137.00,137.00,35.64,274,"37,538","37,538"
8/29/2016,101.00,,,101.00,0.00,0,0,0
8/26/2016,101.00,,,101.00,0.00,0,0,0
8/25/2016,101.00,,,101.00,0.00,0,0,0
8/24/2016,101.00,,,101.00,0.00,0,0,0
8/23/2016,101.00,,,101.00,0.00,0,0,0
8/22/2016,101.00,,,101.00,0.00,0,0,0
8/19/2016,101.00,,,101.00,0.00,0,0,0
8/18/2016,101.00,,,101.00,0.00,0,0,0
8/17/2016,101.00,,,101.00,0.00,0,0,0
8/16/2016,101.00,,,101.00,0.00,0,0,0
8/15/2016,101.00,,,101.00,0.00,0,0,0
8/12/2016,101.00,,,101.00,0.00,0,0,0
8/11/2016,101.00,,,101.00,0.00,0,0,0
8/10/2016,101.00,,,101.00,0.00,0,0,0
8/9/2016,101.00,,,101.00,0.00,0,0,0
8/8/2016,101.00,,,101.00,0.00,0,0,0
8/5/2016,101.00,,,101.00,0.00,0,0,0
8/4/2016,101.00,,,101.00,0.00,0,0,0
8/3/2016,101.00,101.00,101.00,101.00,-24.06,70,"7,070","7,070"
8/1/2016,133.00,,,133.00,0.00,0,0,0
7/29/2016,133.00,,,133.00,0.00,0,0,0
7/28/2016,133.00,,,133.00,0.00,0,0,0
7/27/2016,133.00,,,133.00,0.00,0,0,0
7/26/2016,133.00,,,133.00,0.00,0,0,0
7/25/2016,133.00,,,133.00,0.00,0,0,0
7/22/2016,133.00,,,133.00,0.00,0,0,0
7/21/2016,133.00,,,133.00,0.00,0,0,0
7/20/2016,133.00,,,133.00,0.00,0,0,0
7/19/2016,133.00,,,133.00,0.00,0,0,0
7/18/2016,133.00,,,133.00,0.00,0,0,0
7/15/2016,133.00,,,133.00,0.00,0,0,0
7/14/2016,133.00,,,133.00,0.00,0,0,0
7/13/2016,133.00,,,133.00,0.00,0,0,0
7/12/2016,133.00,,,133.00,0.00,0,0,0
7/11/2016,133.00,,,133.00,0.00,0,0,0
7/8/2016,133.00,,,133.00,0.00,0,0,0
7/7/2016,133.00,,,133.00,0.00,0,0,0
7/6/2016,133.00,,,133.00,0.00,0,0,0
7/4/2016,133.00,,,133.00,0.00,0,0,0
7/1/2016,133.00,,,133.00,0.00,0,0,0
6/30/2016,133.00,,,133.00,0.00,0,0,0
6/29/2016,133.00,,,133.00,0.00,0,0,0
6/28/2016,133.00,,,133.00,0.00,0,0,0
6/27/2016,133.00,,,133.00,0.00,0,0,0
6/24/2016,133.00,,,133.00,0.00,0,0,0
6/23/2016,133.00,,,133.00,0.00,0,0,0
6/22/2016,133.00,,,133.00,0.00,0,0,0
6/21/2016,133.00,,,133.00,0.00,0,0,0
6/20/2016,133.00,,,133.00,0.00,0,0,0
6/16/2016,133.00,,,133.00,0.00,0,0,0
6/15/2016,133.00,133.00,133.00,133.00,0.00,157,"20,881","20,881"
6/14/2016,133.00,,,133.00,0.00,0,0,0
6/13/2016,133.00,,,133.00,0.00,0,0,0
6/10/2016,133.00,,,133.00,0.00,0,0,0
6/9/2016,133.00,,,133.00,0.00,0,0,0
6/8/2016,133.00,,,133.00,0.00,0,0,0
6/7/2016,133.00,,,133.00,0.00,0,0,0
6/6/2016,133.00,,,133.00,0.00,0,0,0
