Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"22,000.00",,,"22,088.89",0.00,0,0,0
12/29/2014,"22,000.00","22,200.00","22,000.00","22,088.89",0.40,72,"1,590,400","1,590,400"
12/26/2014,"22,000.00","22,000.00","22,000.00","22,000.00",0.00,3,"66,000","66,000"
12/25/2014,"22,000.00",,,"22,000.00",0.00,0,0,0
12/24/2014,"22,000.00","22,000.00","22,000.00","22,000.00",-0.90,2,"44,000","44,000"
12/23/2014,"22,200.00","22,200.00","22,200.00","22,200.00",0.00,2,"44,400","44,400"
12/22/2014,"22,200.00","22,200.00","22,200.00","22,200.00",1.24,9,"199,800","199,800"
12/19/2014,"22,000.00","22,000.00","21,500.00","21,928.57",-0.32,7,"153,500","153,500"
12/18/2014,"22,000.00","22,000.00","22,000.00","22,000.00",-0.87,18,"396,000","396,000"
12/17/2014,"21,700.00","22,400.00","21,700.00","22,192.29",1.83,7,"155,346","155,346"
12/16/2014,"22,100.00","22,100.00","21,551.00","21,794.25",-0.26,8,"174,354","174,354"
12/15/2014,"22,000.00","22,000.00","21,600.00","21,850.20",-0.90,5,"109,251","109,251"
12/12/2014,"22,000.00","22,100.00","21,999.00","22,049.60",0.72,10,"220,496","220,496"
12/11/2014,"22,150.00","22,150.00","21,560.00","21,891.67",1.70,12,"262,700","262,700"
12/10/2014,"22,000.00","22,000.00","21,300.00","21,526.32",0.20,19,"409,000","409,000"
12/9/2014,"21,500.00","21,500.00","21,400.00","21,483.33",-0.82,30,"644,500","644,500"
12/5/2014,"21,500.00","21,800.00","21,500.00","21,660.71",-1.54,28,"606,500","606,500"
12/4/2014,"22,000.00","22,000.00","22,000.00","22,000.00",0.00,8,"176,000","176,000"
12/2/2014,"22,000.00","22,000.00","22,000.00","22,000.00",-2.22,10,"220,000","220,000"
12/1/2014,"22,100.00","22,700.00","22,100.00","22,500.00",-0.58,3,"67,500","67,500"
11/28/2014,"22,360.00","22,800.00","22,360.00","22,631.25",1.33,8,"181,050","181,050"
11/27/2014,"22,400.00","22,400.00","22,310.00","22,334.00",-2.90,15,"335,010","335,010"
11/26/2014,"23,000.00",,,"23,000.00",0.00,0,0,0
11/25/2014,"23,000.00",,,"23,000.00",0.00,0,0,0
11/24/2014,"23,000.00","23,000.00","23,000.00","23,000.00",-1.29,15,"345,000","345,000"
11/21/2014,"23,300.00","23,300.00","23,300.00","23,300.00",-0.30,2,"46,600","46,600"
11/20/2014,"23,490.00","23,500.00","23,200.00","23,369.17",-1.04,12,"280,430","280,430"
11/19/2014,"23,610.00",,,"23,614.44",0.00,0,0,0
11/18/2014,"23,610.00","23,620.00","23,610.00","23,614.44",-0.02,9,"212,530","212,530"
11/17/2014,"23,620.00","23,620.00","23,620.00","23,620.00",-1.24,2,"47,240","47,240"
12/29/2016,"26,675.00","27,299.00","26,675.00","27,068.71",-1.14,21,"568,443","568,443"
12/28/2016,"26,675.00","27,450.00","26,675.00","27,379.55",-0.43,11,"301,175","301,175"
12/27/2016,"27,499.00",,,"27,499.00",0.00,0,0,0
12/26/2016,"27,499.00","27,499.00","27,499.00","27,499.00",-0.98,5,"137,495","137,495"
12/23/2016,"27,770.00",,,"27,770.00",0.00,0,0,0
12/22/2016,"27,770.00","27,770.00","27,770.00","27,770.00",2.85,4,"111,080","111,080"
12/21/2016,"27,000.00","27,000.00","27,000.00","27,000.00",5.78,20,"540,000","540,000"
12/20/2016,"25,524.00","25,524.00","25,524.00","25,524.00",0.00,1,"25,524","25,524"
12/19/2016,"25,524.00","25,524.00","25,524.00","25,524.00",-1.86,69,"1,761,156","1,761,156"
12/16/2016,"26,713.00","26,713.00","25,300.00","26,006.50",-5.56,4,"104,026","104,026"
12/15/2016,"27,455.00",,,"27,538.61",0.00,0,0,0
12/14/2016,"27,455.00","27,750.00","27,455.00","27,538.61",-2.69,18,"495,695","495,695"
12/13/2016,"28,300.00",,,"28,300.00",0.00,0,0,0
12/12/2016,"28,300.00","28,300.00","28,300.00","28,300.00",0.48,1,"28,300","28,300"
12/9/2016,"28,200.00","28,499.00","28,000.00","28,163.45",-1.87,11,"309,798","309,798"
12/7/2016,"28,700.00",,,"28,700.00",0.00,0,0,0
12/6/2016,"28,700.00",,,"28,700.00",0.00,0,0,0
12/5/2016,"28,700.00","28,700.00","28,700.00","28,700.00",0.59,1,"28,700","28,700"
12/2/2016,"28,799.00","28,799.00","28,000.00","28,532.67",1.48,3,"85,598","85,598"
12/1/2016,"28,600.00","28,600.00","27,997.00","28,116.95",-0.29,22,"618,573","618,573"
11/29/2016,"28,200.00","28,200.00","28,200.00","28,200.00",-2.76,2,"56,400","56,400"
11/28/2016,"28,999.00","28,999.00","28,999.00","28,999.00",1.75,1,"28,999","9,764,093"
11/25/2016,"28,500.00","28,500.00","28,500.00","28,500.00",-0.85,5,"142,500","142,500"
11/24/2016,"28,888.00","28,888.00","28,600.00","28,744.00",0.50,10,"287,440","287,440"
11/23/2016,"28,900.00","28,900.00","28,000.00","28,600.00",1.89,3,"85,800","85,800"
11/22/2016,"28,000.00","29,000.00","27,160.00","28,070.14",-5.39,44,"1,235,086","1,235,086"
