Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"3,900.00","3,900.00","3,900.00","3,900.00",0.00,200,"780,000","780,000"
12/29/2014,"3,900.00","3,900.00","3,900.00","3,900.00",0.00,200,"780,000","780,000"
12/26/2014,"3,900.00","3,900.00","3,900.00","3,900.00",2.63,100,"390,000","390,000"
12/25/2014,"3,800.00",,,"3,800.00",0.00,0,0,0
12/24/2014,"3,800.00","3,800.00","3,800.00","3,800.00",0.00,26,"98,800","98,800"
12/23/2014,"3,800.00",,,"3,800.00",0.00,0,0,0
12/22/2014,"3,800.00","3,800.00","3,800.00","3,800.00",-0.02,25,"95,000","95,000"
12/19/2014,"3,800.00","3,801.00","3,800.00","3,800.75",2.70,20,"76,015","76,015"
12/18/2014,"3,701.00",,,"3,701.00",0.00,0,0,0
12/17/2014,"3,701.00",,,"3,701.00",0.00,0,0,0
12/16/2014,"3,701.00","3,701.00","3,701.00","3,701.00",0.03,10,"37,010","37,010"
12/15/2014,"3,700.00",,,"3,700.00",0.00,0,0,0
12/12/2014,"3,700.00",,,"3,700.00",0.00,0,0,0
12/11/2014,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,70,"259,000","259,000"
12/10/2014,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,10,"37,000","37,000"
12/9/2014,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,25,"92,500","92,500"
12/5/2014,"3,700.00",,,"3,700.00",0.00,0,0,0
12/4/2014,"3,700.00",,,"3,700.00",0.00,0,0,0
12/2/2014,"3,700.00",,,"3,700.00",0.00,0,0,0
12/1/2014,"3,700.00",,,"3,700.00",0.00,0,0,0
11/28/2014,"3,700.00",,,"3,700.00",0.00,0,0,0
11/27/2014,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,40,"148,000","148,000"
11/26/2014,"3,700.00",,,"3,700.00",0.00,0,0,0
11/25/2014,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,5,"18,500","18,500"
11/24/2014,"3,700.00","3,700.00","3,700.00","3,700.00",-0.27,26,"96,200","96,200"
11/21/2014,"3,710.00","3,710.00","3,710.00","3,710.00",-2.37,50,"185,500","185,500"
11/20/2014,"3,800.00",,,"3,800.00",0.00,0,0,0
11/19/2014,"3,800.00",,,"3,800.00",0.00,0,0,0
11/18/2014,"3,800.00",,,"3,800.00",0.00,0,0,0
11/17/2014,"3,800.00",,,"3,800.00",0.00,0,0,0
12/29/2016,"3,700.00",,,"3,698.75",0.00,0,0,0
12/28/2016,"3,700.00",,,"3,698.75",0.00,0,0,0
12/27/2016,"3,700.00","3,700.00","3,690.00","3,698.75",-0.01,80,"295,900","295,900"
12/26/2016,"3,699.00","3,699.00","3,699.00","3,699.00",0.60,45,"166,455","166,455"
12/23/2016,"3,677.00",,,"3,677.00",0.00,0,0,0
12/22/2016,"3,677.00",,,"3,677.00",0.00,0,0,0
12/21/2016,"3,677.00",,,"3,677.00",0.00,0,0,0
12/20/2016,"3,677.00",,,"3,677.00",0.00,0,0,0
12/19/2016,"3,677.00",,,"3,677.00",0.00,0,0,0
12/16/2016,"3,677.00","3,677.00","3,677.00","3,677.00",-2.98,57,"209,589","209,589"
12/15/2016,"3,790.00",,,"3,789.80",0.00,0,0,0
12/14/2016,"3,790.00","3,790.00","3,789.00","3,789.80",-0.01,50,"189,490","189,490"
12/13/2016,"3,790.00",,,"3,790.00",0.00,0,0,0
