Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,550.00,,,550.00,0.00,0,0,0
12/29/2014,550.00,550.00,550.00,550.00,-9.84,10,"5,500","5,500"
12/26/2014,610.00,,,610.00,0.00,0,0,0
12/25/2014,610.00,,,610.00,0.00,0,0,0
12/24/2014,610.00,,,610.00,0.00,0,0,0
12/23/2014,610.00,,,610.00,0.00,0,0,0
12/22/2014,610.00,,,610.00,0.00,0,0,0
12/19/2014,610.00,,,610.00,0.00,0,0,0
12/18/2014,610.00,,,610.00,0.00,0,0,0
12/17/2014,610.00,,,610.00,0.00,0,0,0
12/16/2014,610.00,,,610.00,0.00,0,0,0
12/15/2014,610.00,,,610.00,0.00,0,0,0
12/12/2014,610.00,,,610.00,0.00,0,0,0
12/11/2014,610.00,,,610.00,0.00,0,0,0
12/10/2014,610.00,,,610.00,0.00,0,0,0
12/9/2014,610.00,,,610.00,0.00,0,0,0
12/5/2014,610.00,,,610.00,0.00,0,0,0
12/4/2014,610.00,,,610.00,0.00,0,0,0
12/2/2014,610.00,,,610.00,0.00,0,0,0
12/1/2014,610.00,,,610.00,0.00,0,0,0
11/28/2014,610.00,,,610.00,0.00,0,0,0
11/27/2014,610.00,,,610.00,0.00,0,0,0
11/26/2014,610.00,,,610.00,0.00,0,0,0
11/25/2014,610.00,,,610.00,0.00,0,0,0
11/24/2014,610.00,,,610.00,0.00,0,0,0
11/21/2014,610.00,,,610.00,0.00,0,0,0
11/20/2014,610.00,,,610.00,0.00,0,0,0
11/19/2014,610.00,,,610.00,0.00,0,0,0
11/18/2014,610.00,610.00,610.00,610.00,-12.86,10,"6,100","6,100"
11/17/2014,700.00,700.00,700.00,700.00,-0.14,15,"10,500","10,500"
12/30/2015,700.00,700.00,700.00,700.00,0.00,200,"140,000","140,000"
12/29/2015,700.00,700.00,700.00,700.00,-6.67,18,"12,600","12,600"
12/28/2015,750.00,,,750.00,0.00,0,0,0
12/25/2015,750.00,,,750.00,0.00,0,0,0
12/24/2015,750.00,,,750.00,0.00,0,0,0
12/23/2015,750.00,750.00,750.00,750.00,0.00,24,"18,000","18,000"
12/22/2015,750.00,,,750.00,0.00,0,0,0
12/21/2015,750.00,,,750.00,0.00,0,0,0
12/18/2015,750.00,,,750.00,0.00,0,0,0
12/17/2015,750.00,,,750.00,0.00,0,0,0
12/16/2015,750.00,750.00,750.00,750.00,-0.13,9,"6,750","6,750"
12/15/2015,751.00,,,751.00,0.00,0,0,0
12/14/2015,751.00,,,751.00,0.00,0,0,0
12/11/2015,751.00,,,751.00,0.00,0,0,0
12/10/2015,751.00,,,751.00,0.00,0,0,0
12/9/2015,751.00,,,751.00,0.00,0,0,0
12/7/2015,751.00,,,751.00,0.00,0,0,0
12/4/2015,751.00,,,751.00,0.00,0,0,0
12/3/2015,751.00,751.00,751.00,751.00,0.00,20,"15,020","15,020"
12/1/2015,751.00,,,751.00,0.00,0,0,0
11/30/2015,751.00,751.00,751.00,751.00,-11.65,31,"23,281","23,281"
11/27/2015,850.00,,,850.00,0.00,0,0,0
11/26/2015,850.00,,,850.00,0.00,0,0,0
11/25/2015,850.00,,,850.00,0.00,0,0,0
11/24/2015,850.00,850.00,850.00,850.00,0.00,80,"68,000","68,000"
11/23/2015,850.00,850.00,850.00,850.00,11.84,37,"31,450","31,450"
11/20/2015,760.00,760.00,760.00,760.00,1.33,73,"55,480","55,480"
11/19/2015,750.00,,,750.00,0.00,0,0,0
11/18/2015,750.00,,,750.00,0.00,0,0,0
11/17/2015,750.00,,,750.00,0.00,0,0,0
11/16/2015,750.00,,,750.00,0.00,0,0,0
11/13/2015,750.00,750.00,750.00,750.00,22.95,20,"15,000","15,000"
11/12/2015,610.00,,,610.00,0.00,0,0,0
11/11/2015,610.00,,,610.00,0.00,0,0,0
11/10/2015,610.00,610.00,610.00,610.00,-12.86,7,"4,270","4,270"
11/9/2015,700.00,,,700.00,0.00,0,0,0
11/6/2015,700.00,,,700.00,0.00,0,0,0
11/5/2015,700.00,700.00,700.00,700.00,0.00,130,"91,000","91,000"
11/4/2015,700.00,,,700.00,0.00,0,0,0
11/3/2015,700.00,700.00,700.00,700.00,16.67,8,"5,600","5,600"
11/2/2015,600.00,,,600.00,0.00,0,0,0
10/30/2015,600.00,600.00,600.00,600.00,6.01,40,"24,000","24,000"
10/29/2015,566.00,566.00,566.00,566.00,2.91,75,"42,450","42,450"
10/28/2015,550.00,,,550.00,0.00,0,0,0
10/27/2015,550.00,,,550.00,0.00,0,0,0
10/26/2015,550.00,,,550.00,0.00,0,0,0
10/22/2015,550.00,,,550.00,0.00,0,0,0
10/21/2015,550.00,,,550.00,0.00,0,0,0
10/20/2015,550.00,,,550.00,0.00,0,0,0
10/19/2015,550.00,,,550.00,0.00,0,0,0
10/16/2015,550.00,550.00,550.00,550.00,3.00,100,"55,000","55,000"
10/15/2015,534.00,,,534.00,0.00,0,0,0
10/14/2015,534.00,,,534.00,0.00,0,0,0
10/13/2015,534.00,,,534.00,0.00,0,0,0
10/9/2015,534.00,534.00,534.00,534.00,-2.91,24,"12,816","12,816"
10/8/2015,550.00,,,550.00,0.00,0,0,0
10/7/2015,550.00,,,550.00,0.00,0,0,0
10/6/2015,550.00,,,550.00,0.00,0,0,0
10/5/2015,550.00,,,550.00,0.00,0,0,0
10/2/2015,550.00,,,550.00,0.00,0,0,0
10/1/2015,550.00,,,550.00,0.00,0,0,0
9/30/2015,550.00,,,550.00,0.00,0,0,0
9/29/2015,550.00,,,550.00,0.00,0,0,0
9/28/2015,550.00,,,550.00,0.00,0,0,0
9/25/2015,550.00,,,550.00,0.00,0,0,0
9/24/2015,550.00,550.00,550.00,550.00,-0.90,99,"54,450","54,450"
9/23/2015,555.00,,,555.00,0.00,0,0,0
9/22/2015,555.00,555.00,555.00,555.00,0.91,105,"58,275","58,275"
9/21/2015,550.00,550.00,550.00,550.00,10.00,17,"9,350","9,350"
9/18/2015,500.00,,,500.00,0.00,0,0,0
9/17/2015,500.00,,,500.00,0.00,0,0,0
9/16/2015,500.00,,,500.00,0.00,0,0,0
9/15/2015,500.00,500.00,500.00,500.00,-0.20,95,"47,500","47,500"
9/14/2015,501.00,,,501.00,0.00,0,0,0
9/11/2015,501.00,,,501.00,0.00,0,0,0
9/10/2015,501.00,,,501.00,0.00,0,0,0
9/9/2015,501.00,501.00,501.00,501.00,0.00,9,"4,509","4,509"
9/7/2015,501.00,,,501.00,0.00,0,0,0
9/4/2015,501.00,,,501.00,0.00,0,0,0
9/3/2015,501.00,,,501.00,0.00,0,0,0
9/2/2015,501.00,501.00,501.00,501.00,-16.50,17,"8,517","8,517"
9/1/2015,600.00,600.00,600.00,600.00,15.83,60,"36,000","36,000"
8/31/2015,518.00,518.00,518.00,518.00,-3.00,58,"30,044","30,044"
8/27/2015,534.00,,,534.00,0.00,0,0,0
8/26/2015,534.00,,,534.00,0.00,0,0,0
8/25/2015,534.00,,,534.00,0.00,0,0,0
8/24/2015,534.00,,,534.00,0.00,0,0,0
8/21/2015,534.00,534.00,534.00,534.00,-2.91,100,"53,400","53,400"
8/20/2015,550.00,,,550.00,0.00,0,0,0
8/19/2015,550.00,,,550.00,0.00,0,0,0
8/18/2015,550.00,,,550.00,0.00,0,0,0
8/17/2015,550.00,,,550.00,0.00,0,0,0
8/14/2015,550.00,,,550.00,0.00,0,0,0
8/13/2015,550.00,,,550.00,0.00,0,0,0
8/12/2015,550.00,550.00,550.00,550.00,9.34,141,"77,550","77,550"
8/11/2015,503.00,,,503.00,0.00,0,0,0
8/10/2015,503.00,,,503.00,0.00,0,0,0
8/7/2015,503.00,,,503.00,0.00,0,0,0
8/6/2015,503.00,,,503.00,0.00,0,0,0
8/5/2015,503.00,,,503.00,0.00,0,0,0
8/4/2015,503.00,,,503.00,0.00,0,0,0
7/31/2015,503.00,,,503.00,0.00,0,0,0
7/30/2015,503.00,,,503.00,0.00,0,0,0
7/29/2015,503.00,,,503.00,0.00,0,0,0
7/28/2015,503.00,,,503.00,0.00,0,0,0
7/27/2015,503.00,,,503.00,0.00,0,0,0
7/24/2015,503.00,,,503.00,0.00,0,0,0
7/23/2015,503.00,,,503.00,0.00,0,0,0
7/22/2015,503.00,,,503.00,0.00,0,0,0
7/21/2015,503.00,,,503.00,0.00,0,0,0
7/20/2015,503.00,,,503.00,0.00,0,0,0
7/16/2015,503.00,,,503.00,0.00,0,0,0
7/15/2015,503.00,,,503.00,0.00,0,0,0
7/14/2015,503.00,,,503.00,0.00,0,0,0
7/13/2015,503.00,,,503.00,0.00,0,0,0
7/10/2015,503.00,,,503.00,0.00,0,0,0
7/9/2015,503.00,,,503.00,0.00,0,0,0
7/8/2015,503.00,,,503.00,0.00,0,0,0
7/7/2015,503.00,,,503.00,0.00,0,0,0
7/6/2015,503.00,503.00,503.00,503.00,-5.09,114,"57,342","57,342"
7/3/2015,530.00,,,530.00,0.00,0,0,0
7/2/2015,530.00,530.00,530.00,530.00,5.79,35,"18,550","18,550"
7/1/2015,501.00,,,501.00,0.00,0,0,0
6/30/2015,501.00,,,501.00,0.00,0,0,0
6/29/2015,501.00,,,501.00,0.00,0,0,0
6/26/2015,501.00,,,501.00,0.00,0,0,0
6/25/2015,501.00,501.00,501.00,501.00,0.00,107,"53,607","53,607"
6/24/2015,501.00,,,501.00,0.00,0,0,0
6/23/2015,501.00,,,501.00,0.00,0,0,0
6/22/2015,501.00,501.00,501.00,501.00,0.00,107,"53,607","53,607"
6/19/2015,501.00,,,501.00,0.00,0,0,0
