Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/29/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/26/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/25/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/24/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/23/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/22/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/19/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/18/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/17/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/16/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/15/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/12/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/11/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/10/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/9/2014,"19,211.00",,,"19,211.00",0.00,0,0,0
12/5/2014,"19,211.00","19,211.00","19,211.00","19,211.00",0.01,30,"576,330","576,330"
12/4/2014,"19,210.00",,,"19,210.00",0.00,0,0,0
12/2/2014,"19,210.00",,,"19,210.00",0.00,0,0,0
12/1/2014,"19,210.00","19,210.00","19,210.00","19,210.00",-2.98,23,"441,830","441,830"
11/28/2014,"19,800.00",,,"19,800.00",0.00,0,0,0
11/27/2014,"19,800.00","19,800.00","19,800.00","19,800.00",1.19,15,"297,000","297,000"
11/26/2014,"19,567.00",,,"19,567.00",0.00,0,0,0
11/25/2014,"19,567.00","19,567.00","19,567.00","19,567.00",-0.02,14,"273,938","273,938"
11/24/2014,"19,570.00","19,570.00","19,570.00","19,570.00",3.00,5,"97,850","97,850"
11/21/2014,"19,000.00","19,000.00","19,000.00","19,000.00",0.01,50,"950,000","950,000"
11/20/2014,"18,999.00",,,"18,999.00",0.00,0,0,0
11/19/2014,"18,999.00","18,999.00","18,999.00","18,999.00",2.15,15,"284,985","284,985"
11/18/2014,"18,600.00","18,600.00","18,600.00","18,600.00",0.54,11,"204,600","204,600"
11/17/2014,"18,500.00","18,500.00","18,500.00","18,500.00",2.78,10,"185,000","185,000"
12/29/2016,"34,500.00",,,"34,500.00",0.00,0,0,0
12/28/2016,"34,500.00","34,500.00","34,500.00","34,500.00",0.00,1,"34,500","34,500"
12/27/2016,"34,500.00",,,"34,500.00",0.00,0,0,0
12/26/2016,"34,500.00",,,"34,500.00",0.00,0,0,0
12/23/2016,"34,500.00",,,"34,500.00",0.00,0,0,0
12/22/2016,"34,500.00",,,"34,500.00",0.00,0,0,0
12/21/2016,"34,500.00","34,500.00","34,500.00","34,500.00",1.71,10,"345,000","345,000"
12/20/2016,"34,000.00",,,"33,921.05",0.00,0,0,0
12/19/2016,"34,000.00",,,"33,921.05",0.00,0,0,0
12/16/2016,"34,000.00",,,"33,921.05",0.00,0,0,0
12/15/2016,"34,000.00","34,000.00","33,500.00","33,921.05",1.26,19,"644,500","644,500"
12/14/2016,"33,500.00",,,"33,500.00",0.00,0,0,0
12/13/2016,"33,500.00",,,"33,500.00",0.00,0,0,0
12/12/2016,"33,500.00",,,"33,500.00",0.00,0,0,0
12/9/2016,"33,500.00",,,"33,500.00",0.00,0,0,0
12/7/2016,"33,500.00","33,500.00","33,500.00","33,500.00",-1.47,49,"1,641,500","1,641,500"
12/6/2016,"34,000.00",,,"34,000.00",0.00,0,0,0
12/5/2016,"34,000.00",,,"34,000.00",0.00,0,0,0
12/2/2016,"34,000.00",,,"34,000.00",0.00,0,0,0
12/1/2016,"34,000.00",,,"34,000.00",0.00,0,0,0
11/29/2016,"34,000.00",,,"34,000.00",0.00,0,0,0
11/28/2016,"34,000.00",,,"34,000.00",0.00,0,0,0
11/25/2016,"34,000.00","34,000.00","34,000.00","34,000.00",1.49,1,"34,000","34,000"
11/24/2016,"33,500.00","33,500.00","33,500.00","33,500.00",-1.47,126,"4,221,000","4,221,000"
11/23/2016,"33,999.00",,,"33,999.00",0.00,0,0,0
11/22/2016,"33,999.00","33,999.00","33,999.00","33,999.00",0.00,7,"237,993","237,993"
11/21/2016,"34,000.00",,,"33,999.50",0.00,0,0,0
11/18/2016,"34,000.00","34,000.00","33,999.00","33,999.50",0.00,40,"1,359,980","1,359,980"
11/17/2016,"34,000.00",,,"34,000.00",0.00,0,0,0
11/16/2016,"34,000.00","34,000.00","34,000.00","34,000.00",4.62,5,"170,000","170,000"
11/15/2016,"32,500.00",,,"32,500.00",0.00,0,0,0
11/14/2016,"32,500.00",,,"32,500.00",0.00,0,0,0
11/11/2016,"32,500.00",,,"32,500.00",0.00,0,0,0
11/10/2016,"32,500.00",,,"32,500.00",0.00,0,0,0
11/9/2016,"32,500.00","32,500.00","32,500.00","32,500.00",1.56,40,"1,300,000","1,300,000"
11/8/2016,"32,000.00","32,000.00","32,000.00","32,000.00",-1.40,2,"64,000","64,000"
11/7/2016,"32,500.00","32,500.00","32,002.00","32,454.73",-0.14,11,"357,002","357,002"
11/4/2016,"32,500.00",,,"32,500.00",0.00,0,0,0
11/3/2016,"32,500.00",,,"32,500.00",0.00,0,0,0
11/2/2016,"32,500.00","32,500.00","32,500.00","32,500.00",0.78,10,"325,000","325,000"
11/1/2016,"32,500.00",,,"32,250.00",0.00,0,0,0
10/31/2016,"32,500.00",,,"32,250.00",0.00,0,0,0
10/28/2016,"32,500.00","32,500.00","32,200.00","32,250.00",0.66,12,"387,000","387,000"
10/27/2016,"32,000.00","32,100.00","32,000.00","32,040.00",-0.19,10,"320,400","320,400"
10/26/2016,"32,100.00","32,100.00","32,100.00","32,100.00",0.31,1,"32,100","32,100"
10/25/2016,"32,000.00","32,000.00","32,000.00","32,000.00",0.00,165,"5,280,000","5,280,000"
10/21/2016,"32,000.00","32,000.00","31,999.00","31,999.65",-1.24,17,"543,994","543,994"
10/20/2016,"32,400.00","32,400.00","32,400.00","32,400.00",0.00,33,"1,069,200","1,069,200"
10/19/2016,"32,400.00",,,"32,400.00",0.00,0,0,0
10/18/2016,"32,400.00","32,400.00","32,400.00","32,400.00",2.96,1,"32,400","32,400"
10/17/2016,"31,468.00",,,"31,468.00",0.00,0,0,0
10/14/2016,"31,468.00","31,468.00","31,468.00","31,468.00",3.00,2,"62,936","62,936"
10/13/2016,"30,550.00","30,553.00","30,550.00","30,551.76",0.01,17,"519,380","519,380"
10/12/2016,"30,550.00","30,550.00","30,550.00","30,550.00",0.00,18,"549,900","549,900"
10/10/2016,"30,550.00",,,"30,550.00",0.00,0,0,0
10/7/2016,"30,550.00","30,550.00","30,550.00","30,550.00",0.00,20,"611,000","611,000"
10/6/2016,"30,550.00","30,555.00","30,550.00","30,551.28",0.16,79,"2,413,551","2,413,551"
10/5/2016,"30,502.00","30,502.00","30,502.00","30,502.00",0.01,9,"274,518","274,518"
10/4/2016,"30,502.00",,,"30,500.22",0.00,0,0,0
10/3/2016,"30,502.00",,,"30,500.22",0.00,0,0,0
9/30/2016,"30,502.00","30,502.00","30,500.00","30,500.22",-0.04,9,"274,502","274,502"
9/29/2016,"30,500.00",,,"30,511.54",0.00,0,0,0
9/28/2016,"30,500.00",,,"30,511.54",0.00,0,0,0
9/27/2016,"30,500.00","30,600.00","30,500.00","30,511.54",0.15,26,"793,300","793,300"
