Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"57,001.00",,,"57,001.00",0.00,0,0,0
12/29/2014,"57,001.00","57,001.00","57,001.00","57,001.00",0.00,3,"171,003","171,003"
12/26/2014,"57,000.00","57,000.00","57,000.00","57,000.00",1.79,5,"285,000","285,000"
12/25/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/24/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/23/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/22/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/19/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/18/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/17/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/16/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/15/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/12/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/11/2014,"56,000.00","56,000.00","56,000.00","56,000.00",0.00,7,"392,000","392,000"
12/10/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/9/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
12/5/2014,"56,000.00","56,000.00","56,000.00","56,000.00",0.90,307,"17,192,000","17,192,000"
12/4/2014,"55,500.00","55,500.00","55,500.00","55,500.00",0.00,14,"777,000","777,000"
12/2/2014,"55,500.00","55,500.00","55,500.00","55,500.00",-0.89,10,"555,000","555,000"
12/1/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
11/28/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
11/27/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
11/26/2014,"56,000.00",,,"56,000.00",0.00,0,0,0
11/25/2014,"56,000.00","56,000.00","56,000.00","56,000.00",0.90,102,"5,712,000","5,712,000"
11/24/2014,"55,500.00",,,"55,500.00",0.00,0,0,0
11/21/2014,"55,500.00",,,"55,500.00",0.00,0,0,0
