Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,26.00,,,26.00,0.00,0,0,0
12/29/2014,26.00,,,26.00,0.00,0,0,0
12/26/2014,26.00,,,26.00,0.00,0,0,0
12/25/2014,26.00,,,26.00,0.00,0,0,0
12/24/2014,26.00,,,26.00,0.00,0,0,0
12/23/2014,26.00,,,26.00,0.00,0,0,0
12/22/2014,26.00,,,26.00,0.00,0,0,0
12/19/2014,26.00,,,26.00,0.00,0,0,0
12/18/2014,26.00,,,26.00,0.00,0,0,0
12/17/2014,26.00,,,26.00,0.00,0,0,0
12/16/2014,26.00,,,26.00,0.00,0,0,0
12/15/2014,26.00,,,26.00,0.00,0,0,0
12/12/2014,26.00,,,26.00,0.00,0,0,0
12/11/2014,26.00,,,26.00,0.00,0,0,0
12/10/2014,26.00,,,26.00,0.00,0,0,0
12/9/2014,26.00,,,26.00,0.00,0,0,0
12/5/2014,26.00,,,26.00,0.00,0,0,0
12/4/2014,26.00,,,26.00,0.00,0,0,0
12/2/2014,26.00,,,26.00,0.00,0,0,0
12/1/2014,26.00,,,26.00,0.00,0,0,0
11/28/2014,26.00,,,26.00,0.00,0,0,0
11/27/2014,26.00,,,26.00,0.00,0,0,0
11/26/2014,26.00,,,26.00,0.00,0,0,0
11/25/2014,26.00,,,26.00,0.00,0,0,0
11/24/2014,26.00,,,26.00,0.00,0,0,0
11/21/2014,26.00,,,26.00,0.00,0,0,0
11/20/2014,26.00,,,26.00,0.00,0,0,0
11/19/2014,26.00,26.00,26.00,26.00,-7.14,300,"7,800","7,800"
11/18/2014,28.00,28.00,28.00,28.00,0.00,"2,000","56,000","56,000"
11/17/2014,28.00,28.00,28.00,28.00,0.00,"12,000","336,000","336,000"
12/30/2015,12.00,,,12.00,0.00,0,0,0
12/29/2015,12.00,,,12.00,0.00,0,0,0
12/28/2015,12.00,12.00,12.00,12.00,-7.69,490,"5,880","5,880"
12/25/2015,13.00,,,13.00,0.00,0,0,0
12/24/2015,13.00,,,13.00,0.00,0,0,0
12/23/2015,13.00,13.00,13.00,13.00,0.00,"1,200","15,600","15,600"
12/22/2015,13.00,,,13.00,0.00,0,0,0
12/21/2015,13.00,,,13.00,0.00,0,0,0
12/18/2015,13.00,,,13.00,0.00,0,0,0
12/17/2015,13.00,,,13.00,0.00,0,0,0
12/16/2015,13.00,,,13.00,0.00,0,0,0
12/15/2015,13.00,,,13.00,0.00,0,0,0
12/14/2015,13.00,,,13.00,0.00,0,0,0
12/11/2015,13.00,,,13.00,0.00,0,0,0
12/10/2015,13.00,,,13.00,0.00,0,0,0
12/9/2015,13.00,,,13.00,0.00,0,0,0
12/7/2015,13.00,,,13.00,0.00,0,0,0
12/4/2015,13.00,,,13.00,0.00,0,0,0
12/3/2015,13.00,,,13.00,0.00,0,0,0
12/1/2015,13.00,,,13.00,0.00,0,0,0
11/30/2015,13.00,13.00,13.00,13.00,0.00,824,"10,712","10,712"
11/27/2015,13.00,,,13.00,0.00,0,0,0
11/26/2015,13.00,13.00,13.00,13.00,0.00,250,"3,250","3,250"
11/25/2015,13.00,13.00,13.00,13.00,0.00,569,"7,397","7,397"
11/24/2015,13.00,13.00,13.00,13.00,8.33,"2,218","28,834","28,834"
11/23/2015,12.00,,,12.00,0.00,0,0,0
11/20/2015,12.00,12.00,12.00,12.00,0.00,100,"1,200","1,200"
11/19/2015,12.00,,,12.00,0.00,0,0,0
11/18/2015,12.00,,,12.00,0.00,0,0,0
11/17/2015,12.00,,,12.00,0.00,0,0,0
11/16/2015,12.00,12.00,12.00,12.00,-20.00,"3,000","36,000","36,000"
11/13/2015,15.00,,,15.00,0.00,0,0,0
11/12/2015,15.00,,,15.00,0.00,0,0,0
11/11/2015,15.00,,,15.00,0.00,0,0,0
11/10/2015,15.00,,,15.00,0.00,0,0,0
11/9/2015,15.00,,,15.00,0.00,0,0,0
11/6/2015,15.00,,,15.00,0.00,0,0,0
11/5/2015,15.00,,,15.00,0.00,0,0,0
11/4/2015,15.00,,,15.00,0.00,0,0,0
11/3/2015,15.00,,,15.00,0.00,0,0,0
11/2/2015,15.00,,,15.00,0.00,0,0,0
10/30/2015,15.00,,,15.00,0.00,0,0,0
10/29/2015,15.00,,,15.00,0.00,0,0,0
10/28/2015,15.00,,,15.00,0.00,0,0,0
10/27/2015,15.00,,,15.00,0.00,0,0,0
10/26/2015,15.00,,,15.00,0.00,0,0,0
10/22/2015,15.00,,,15.00,0.00,0,0,0
10/21/2015,15.00,,,15.00,0.00,0,0,0
10/20/2015,15.00,,,15.00,0.00,0,0,0
10/19/2015,15.00,,,15.00,0.00,0,0,0
10/16/2015,15.00,,,15.00,0.00,0,0,0
10/15/2015,15.00,15.00,15.00,15.00,0.00,700,"10,500","10,500"
10/14/2015,15.00,,,15.00,0.00,0,0,0
10/13/2015,15.00,,,15.00,0.00,0,0,0
10/9/2015,15.00,,,15.00,0.00,0,0,0
10/8/2015,15.00,,,15.00,0.00,0,0,0
10/7/2015,15.00,,,15.00,0.00,0,0,0
10/6/2015,15.00,,,15.00,0.00,0,0,0
10/5/2015,15.00,,,15.00,0.00,0,0,0
10/2/2015,15.00,,,15.00,0.00,0,0,0
10/1/2015,15.00,,,15.00,0.00,0,0,0
9/30/2015,15.00,,,15.00,0.00,0,0,0
9/29/2015,15.00,,,15.00,0.00,0,0,0
9/28/2015,15.00,,,15.00,0.00,0,0,0
9/25/2015,15.00,,,15.00,0.00,0,0,0
9/24/2015,15.00,15.00,15.00,15.00,0.00,"1,660","24,900","24,900"
9/23/2015,15.00,,,15.00,0.00,0,0,0
9/22/2015,15.00,,,15.00,0.00,0,0,0
9/21/2015,15.00,,,15.00,0.00,0,0,0
9/18/2015,15.00,,,15.00,0.00,0,0,0
9/17/2015,15.00,,,15.00,0.00,0,0,0
9/16/2015,15.00,,,15.00,0.00,0,0,0
