Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,54.00,,,54.00,0.00,0,0,0
12/29/2014,54.00,,,54.00,0.00,0,0,0
12/26/2014,54.00,,,54.00,0.00,0,0,0
12/25/2014,54.00,,,54.00,0.00,0,0,0
12/24/2014,54.00,,,54.00,0.00,0,0,0
12/23/2014,54.00,,,54.00,0.00,0,0,0
12/22/2014,54.00,,,54.00,0.00,0,0,0
12/19/2014,54.00,,,54.00,0.00,0,0,0
12/18/2014,54.00,,,54.00,0.00,0,0,0
12/17/2014,54.00,,,54.00,0.00,0,0,0
12/16/2014,54.00,,,54.00,0.00,0,0,0
12/15/2014,54.00,,,54.00,0.00,0,0,0
12/12/2014,54.00,,,54.00,0.00,0,0,0
12/11/2014,54.00,,,54.00,0.00,0,0,0
12/10/2014,54.00,,,54.00,0.00,0,0,0
12/9/2014,54.00,,,54.00,0.00,0,0,0
12/5/2014,54.00,,,54.00,0.00,0,0,0
12/4/2014,54.00,,,54.00,0.00,0,0,0
12/2/2014,54.00,,,54.00,0.00,0,0,0
12/1/2014,54.00,,,54.00,0.00,0,0,0
11/28/2014,54.00,,,54.00,0.00,0,0,0
11/27/2014,54.00,,,54.00,0.00,0,0,0
11/26/2014,54.00,,,54.00,0.00,0,0,0
11/25/2014,54.00,54.00,54.00,54.00,1.89,50,"2,700","2,700"
11/24/2014,53.00,,,53.00,0.00,0,0,0
11/21/2014,53.00,53.00,53.00,53.00,2.42,50,"2,650","2,650"
11/20/2014,52.00,52.00,50.00,51.75,1.47,877,"45,384","45,384"
11/19/2014,51.00,51.00,51.00,51.00,9.56,50,"2,550","2,550"
11/18/2014,49.00,49.00,46.00,46.55,3.38,"11,000","512,000","512,000"
11/17/2014,46.00,46.00,45.00,45.03,0.07,"11,208","504,675","504,675"
12/29/2016,23.00,,,23.00,0.00,0,0,0
12/28/2016,23.00,,,23.00,0.00,0,0,0
12/27/2016,23.00,,,23.00,0.00,0,0,0
12/26/2016,23.00,,,23.00,0.00,0,0,0
12/23/2016,23.00,,,23.00,0.00,0,0,0
12/22/2016,23.00,,,23.00,0.00,0,0,0
12/21/2016,23.00,,,23.00,0.00,0,0,0
12/20/2016,23.00,,,23.00,0.00,0,0,0
