Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,10.00,,,10.00,0.00,0,0,0
12/29/2014,10.00,,,10.00,0.00,0,0,0
12/26/2014,10.00,,,10.00,0.00,0,0,0
12/25/2014,10.00,,,10.00,0.00,0,0,0
12/24/2014,10.00,,,10.00,0.00,0,0,0
12/23/2014,10.00,,,10.00,0.00,0,0,0
12/22/2014,10.00,,,10.00,0.00,0,0,0
12/19/2014,10.00,,,10.00,0.00,0,0,0
12/18/2014,10.00,,,10.00,0.00,0,0,0
12/17/2014,10.00,,,10.00,0.00,0,0,0
12/16/2014,10.00,,,10.00,0.00,0,0,0
12/15/2014,10.00,,,10.00,0.00,0,0,0
12/12/2014,10.00,,,10.00,0.00,0,0,0
12/11/2014,10.00,,,10.00,0.00,0,0,0
12/10/2014,10.00,,,10.00,0.00,0,0,0
12/9/2014,10.00,,,10.00,0.00,0,0,0
12/5/2014,10.00,,,10.00,0.00,0,0,0
12/4/2014,10.00,,,10.00,0.00,0,0,0
12/2/2014,10.00,,,10.00,0.00,0,0,0
12/1/2014,10.00,,,10.00,0.00,0,0,0
11/28/2014,10.00,,,10.00,0.00,0,0,0
11/27/2014,10.00,,,10.00,0.00,0,0,0
11/26/2014,10.00,,,10.00,0.00,0,0,0
11/25/2014,10.00,,,10.00,0.00,0,0,0
11/24/2014,10.00,,,10.00,0.00,0,0,0
11/21/2014,10.00,,,10.00,0.00,0,0,0
11/20/2014,10.00,,,10.00,0.00,0,0,0
11/19/2014,10.00,,,10.00,0.00,0,0,0
11/18/2014,10.00,,,10.00,0.00,0,0,0
11/17/2014,10.00,,,10.00,0.00,0,0,0
12/29/2016,7.00,,,7.00,0.00,0,0,0
12/28/2016,7.00,,,7.00,0.00,0,0,0
12/27/2016,7.00,,,7.00,0.00,0,0,0
12/26/2016,7.00,,,7.00,0.00,0,0,0
12/23/2016,7.00,,,7.00,0.00,0,0,0
12/22/2016,7.00,,,7.00,0.00,0,0,0
12/21/2016,7.00,,,7.00,0.00,0,0,0
12/20/2016,7.00,,,7.00,0.00,0,0,0
12/19/2016,7.00,,,7.00,0.00,0,0,0
12/16/2016,7.00,,,7.00,0.00,0,0,0
12/15/2016,7.00,,,7.00,0.00,0,0,0
12/14/2016,7.00,,,7.00,0.00,0,0,0
12/13/2016,7.00,,,7.00,0.00,0,0,0
12/12/2016,7.00,,,7.00,0.00,0,0,0
12/9/2016,7.00,,,7.00,0.00,0,0,0
12/7/2016,7.00,,,7.00,0.00,0,0,0
12/6/2016,7.00,,,7.00,0.00,0,0,0
12/5/2016,7.00,,,7.00,0.00,0,0,0
12/2/2016,7.00,,,7.00,0.00,0,0,0
12/1/2016,7.00,,,7.00,0.00,0,0,0
11/29/2016,7.00,,,7.00,0.00,0,0,0
11/28/2016,7.00,,,7.00,0.00,0,0,0
11/25/2016,7.00,,,7.00,0.00,0,0,0
11/24/2016,7.00,,,7.00,0.00,0,0,0
11/23/2016,7.00,,,7.00,0.00,0,0,0
11/22/2016,7.00,,,7.00,0.00,0,0,0
11/21/2016,7.00,,,7.00,0.00,0,0,0
11/18/2016,7.00,,,7.00,0.00,0,0,0
11/17/2016,7.00,,,7.00,0.00,0,0,0
11/16/2016,7.00,,,7.00,0.00,0,0,0
11/15/2016,7.00,,,7.00,0.00,0,0,0
11/14/2016,7.00,,,7.00,0.00,0,0,0
11/11/2016,7.00,,,7.00,0.00,0,0,0
11/10/2016,7.00,,,7.00,0.00,0,0,0
11/9/2016,7.00,,,7.00,0.00,0,0,0
11/8/2016,7.00,7.00,7.00,7.00,0.00,"211,117","1,477,819","1,477,819"
11/7/2016,7.00,,,7.00,0.00,0,0,0
11/4/2016,7.00,,,7.00,0.00,0,0,0
11/3/2016,7.00,,,7.00,0.00,0,0,0
11/2/2016,7.00,,,7.00,0.00,0,0,0
11/1/2016,7.00,,,7.00,0.00,0,0,0
10/31/2016,7.00,,,7.00,0.00,0,0,0
10/28/2016,7.00,,,7.00,0.00,0,0,0
10/27/2016,7.00,,,7.00,0.00,0,0,0
10/26/2016,7.00,,,7.00,0.00,0,0,0
10/25/2016,7.00,,,7.00,0.00,0,0,0
10/21/2016,7.00,,,7.00,0.00,0,0,0
10/20/2016,7.00,,,7.00,0.00,0,0,0
10/19/2016,7.00,,,7.00,0.00,0,0,0
10/18/2016,7.00,,,7.00,0.00,0,0,0
10/17/2016,7.00,,,7.00,0.00,0,0,0
10/14/2016,7.00,,,7.00,0.00,0,0,0
10/13/2016,7.00,,,7.00,0.00,0,0,0
10/12/2016,7.00,,,7.00,0.00,0,0,0
10/10/2016,7.00,,,7.00,0.00,0,0,0
10/7/2016,7.00,,,7.00,0.00,0,0,0
10/6/2016,7.00,,,7.00,0.00,0,0,0
10/5/2016,7.00,,,7.00,0.00,0,0,0
10/4/2016,7.00,,,7.00,0.00,0,0,0
10/3/2016,7.00,,,7.00,0.00,0,0,0
9/30/2016,7.00,,,7.00,0.00,0,0,0
9/29/2016,7.00,,,7.00,0.00,0,0,0
9/28/2016,7.00,,,7.00,0.00,0,0,0
9/27/2016,7.00,,,7.00,0.00,0,0,0
9/26/2016,7.00,,,7.00,0.00,0,0,0
