Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"1,400.00","1,400.00","1,400.00","1,400.00",-0.52,50,"70,000","70,000"
12/29/2014,"1,410.00","1,410.00","1,400.00","1,407.27",0.52,139,"195,610","195,610"
12/26/2014,"1,400.00",,,"1,400.00",0.00,0,0,0
12/25/2014,"1,400.00",,,"1,400.00",0.00,0,0,0
12/24/2014,"1,400.00",,,"1,400.00",0.00,0,0,0
12/23/2014,"1,400.00","1,400.00","1,400.00","1,400.00",-6.67,19,"26,600","26,600"
12/22/2014,"1,500.00","1,500.00","1,500.00","1,500.00",-1.97,25,"37,500","37,500"
12/19/2014,"1,530.00",,,"1,530.09",0.00,0,0,0
12/18/2014,"1,530.00",,,"1,530.09",0.00,0,0,"6,424,470"
12/17/2014,"1,530.00",,,"1,530.09",0.00,0,0,0
12/16/2014,"1,530.00",,,"1,530.09",0.00,0,0,0
12/15/2014,"1,530.00",,,"1,530.09",0.00,0,0,0
12/12/2014,"1,530.00","1,531.00","1,530.00","1,530.09",-2.85,164,"250,934","250,934"
12/11/2014,"1,575.00",,,"1,575.00",0.00,0,0,0
12/10/2014,"1,575.00",,,"1,575.00",0.00,0,0,0
12/9/2014,"1,575.00","1,575.00","1,575.00","1,575.00",0.00,35,"55,125","55,125"
12/5/2014,"1,575.00","1,575.00","1,575.00","1,575.00",0.00,280,"441,000","441,000"
12/4/2014,"1,575.00","1,575.00","1,575.00","1,575.00",0.00,15,"23,625","23,625"
12/2/2014,"1,575.00","1,575.00","1,575.00","1,575.00",-2.90,19,"29,925","29,925"
12/1/2014,"1,622.00","1,622.00","1,622.00","1,622.00",0.00,10,"16,220","16,220"
11/28/2014,"1,622.00","1,622.00","1,622.00","1,622.00",2.98,28,"45,416","45,416"
11/27/2014,"1,575.00","1,575.00","1,575.00","1,575.00",-1.56,66,"103,950","103,950"
11/26/2014,"1,600.00","1,600.00","1,600.00","1,600.00",-2.74,74,"118,400","118,400"
11/25/2014,"1,645.00","1,645.00","1,645.00","1,645.00",2.81,23,"37,835","37,835"
11/24/2014,"1,600.00",,,"1,600.00",0.00,0,0,0
11/21/2014,"1,600.00","1,600.00","1,600.00","1,600.00",0.00,84,"134,400","134,400"
11/20/2014,"1,600.00","1,600.00","1,600.00","1,600.00",-0.62,256,"409,600","409,600"
11/19/2014,"1,610.00","1,610.00","1,610.00","1,610.00",-2.94,30,"48,300","48,300"
11/18/2014,"1,599.00","1,697.00","1,599.00","1,658.74",0.64,707,"1,172,731","1,172,731"
11/17/2014,"1,669.00","1,669.00","1,563.00","1,648.18",8.60,280,"461,490","461,490"
12/29/2016,"1,299.00","1,299.00","1,299.00","1,299.00",3.92,10,"12,990","12,990"
12/28/2016,"1,250.00","1,250.00","1,250.00","1,250.00",0.04,700,"875,000","875,000"
12/27/2016,"1,250.00",,,"1,249.45",0.00,0,0,0
12/26/2016,"1,250.00",,,"1,249.45",0.00,0,0,0
12/23/2016,"1,250.00",,,"1,249.45",0.00,0,0,0
12/22/2016,"1,250.00",,,"1,249.45",0.00,0,0,0
12/21/2016,"1,250.00",,,"1,249.45",0.00,0,0,0
12/20/2016,"1,250.00","1,250.00","1,213.00","1,249.45",-0.04,335,"418,565","418,565"
12/19/2016,"1,250.00",,,"1,250.00",0.00,0,0,0
12/16/2016,"1,250.00","1,250.00","1,250.00","1,250.00",-3.10,13,"16,250","16,250"
12/15/2016,"1,290.00",,,"1,290.00",0.00,0,0,0
12/14/2016,"1,290.00","1,290.00","1,290.00","1,290.00",7.50,10,"12,900","1,312,900"
12/13/2016,"1,200.00","1,200.00","1,200.00","1,200.00",-7.69,21,"25,200","25,200"
12/12/2016,"1,300.00","1,300.00","1,300.00","1,300.00",4.00,25,"32,500","32,500"
12/9/2016,"1,250.00","1,250.00","1,250.00","1,250.00",-0.08,10,"12,500","12,500"
12/7/2016,"1,250.00",,,"1,250.96",0.00,0,0,0
12/6/2016,"1,250.00","1,251.00","1,250.00","1,250.96",0.08,209,"261,450","261,450"
12/5/2016,"1,250.00",,,"1,250.00",0.00,0,0,0
12/2/2016,"1,250.00","1,250.00","1,250.00","1,250.00",-0.87,6,"7,500","7,500"
12/1/2016,"1,261.00",,,"1,261.00",0.00,0,0,0
11/29/2016,"1,261.00","1,261.00","1,261.00","1,261.00",-3.00,6,"7,566","1,307,566"
11/28/2016,"1,300.00","1,300.00","1,300.00","1,300.00",-7.12,55,"71,500","71,500"
11/25/2016,"1,400.00",,,"1,399.59",0.00,0,0,0
11/24/2016,"1,400.00",,,"1,399.59",0.00,0,0,0
11/23/2016,"1,400.00","1,400.00","1,394.00","1,399.59",-1.33,"2,047","2,864,970","2,864,970"
11/22/2016,"1,415.00",,,"1,418.52",0.00,0,0,0
11/21/2016,"1,415.00",,,"1,418.52",0.00,0,0,0
11/18/2016,"1,415.00","1,460.00","1,415.00","1,418.52",0.06,64,"90,785","90,785"
11/17/2016,"1,509.00","1,509.00","1,412.00","1,417.60",3.24,136,"192,793","192,793"
11/16/2016,"1,411.00","1,411.00","1,370.00","1,373.06",4.27,67,"91,995","91,995"
11/15/2016,"1,354.00","1,354.00","1,315.00","1,316.82",5.35,107,"140,900","140,900"
11/14/2016,"1,250.00",,,"1,250.00",0.00,0,0,0
11/11/2016,"1,250.00","1,250.00","1,250.00","1,250.00",0.00,21,"26,250","26,250"
11/10/2016,"1,250.00","1,250.00","1,250.00","1,250.00",-2.34,50,"62,500","62,500"
11/9/2016,"1,280.00",,,"1,280.00",0.00,0,0,0
11/8/2016,"1,280.00","1,280.00","1,280.00","1,280.00",2.32,120,"153,600","153,600"
11/7/2016,"1,251.00","1,251.00","1,251.00","1,251.00",0.00,32,"40,032","40,032"
11/4/2016,"1,251.00",,,"1,251.00",0.00,0,0,0
11/3/2016,"1,251.00","1,251.00","1,251.00","1,251.00",0.00,15,"18,765","18,765"
11/2/2016,"1,251.00","1,251.00","1,251.00","1,251.00",0.08,21,"26,271","26,271"
11/1/2016,"1,250.00",,,"1,250.00",0.00,0,0,0
