Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,394.00,394.00,379.00,380.83,1.91,530,"201,840","201,840"
12/29/2014,375.00,375.00,370.00,373.70,1.27,"1,177","439,845","439,845"
12/26/2014,369.00,369.00,369.00,369.00,-0.27,222,"81,918","81,918"
12/25/2014,370.00,370.00,370.00,370.00,0.00,178,"65,860","65,860"
12/24/2014,370.00,370.00,370.00,370.00,0.00,49,"18,130","18,130"
12/23/2014,370.00,370.00,370.00,370.00,-0.06,866,"320,420","320,420"
12/22/2014,372.00,372.00,370.00,370.24,1.05,286,"105,888","105,888"
12/19/2014,361.00,,,366.38,0.00,0,0,0
12/18/2014,361.00,370.00,361.00,366.38,-0.98,271,"99,289","99,289"
12/17/2014,370.00,370.00,370.00,370.00,2.78,50,"18,500","18,500"
12/16/2014,360.00,360.00,360.00,360.00,2.28,200,"72,000","72,000"
12/15/2014,372.00,372.00,351.00,351.96,-2.58,524,"184,428","184,428"
12/12/2014,375.00,375.00,360.00,361.27,0.35,415,"149,925","149,925"
12/11/2014,360.00,360.00,360.00,360.00,2.86,170,"61,200","61,200"
12/10/2014,350.00,350.00,350.00,350.00,-2.51,282,"98,700","98,700"
12/9/2014,359.00,359.00,359.00,359.00,3.38,30,"10,770","10,770"
12/5/2014,350.00,350.00,345.00,347.25,0.65,"1,888","655,600","655,600"
12/4/2014,345.00,345.00,345.00,345.00,-1.43,"1,555","536,475","536,475"
12/2/2014,350.00,350.00,350.00,350.00,-2.78,732,"256,200","256,200"
12/1/2014,360.00,360.00,360.00,360.00,-2.75,312,"112,320","112,320"
11/28/2014,369.00,371.00,369.00,370.18,9.67,170,"62,930","62,930"
11/27/2014,340.00,,,337.53,0.00,0,0,0
11/26/2014,340.00,,,337.53,0.00,0,0,0
11/25/2014,340.00,340.00,335.00,337.53,-1.02,790,"266,650","266,650"
11/24/2014,341.00,341.00,341.00,341.00,-9.79,"1,791","610,731","610,731"
11/21/2014,378.00,,,378.00,0.00,0,0,0
11/20/2014,378.00,,,378.00,0.00,0,0,0
11/19/2014,378.00,378.00,378.00,378.00,-2.99,200,"75,600","75,600"
11/18/2014,399.00,399.00,388.00,389.65,1.68,40,"15,586","15,586"
11/17/2014,375.00,400.00,375.00,383.21,-7.54,329,"126,075","126,075"
12/29/2016,790.00,790.00,756.00,768.26,-7.66,172,"132,140","132,140"
12/28/2016,832.00,832.00,832.00,832.00,-9.97,4,"3,328","3,328"
12/27/2016,920.00,,,924.10,0.00,0,0,0
12/26/2016,920.00,930.00,913.00,924.10,-0.77,995,"919,480","919,480"
12/23/2016,930.00,938.00,930.00,931.27,0.24,"4,052","3,773,489","3,773,489"
12/22/2016,930.00,930.00,926.00,929.02,-0.06,"2,007","1,864,550","1,864,550"
12/21/2016,929.00,930.00,929.00,929.61,1.18,285,"264,940","264,940"
12/20/2016,915.00,930.00,914.00,918.76,0.96,785,"721,229","721,229"
12/19/2016,910.00,910.00,910.00,910.00,-2.52,207,"188,370","188,370"
