Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,380.00,,,380.00,0.00,0,0,0
12/29/2014,380.00,,,380.00,0.00,0,0,0
12/26/2014,380.00,,,380.00,0.00,0,0,0
12/25/2014,380.00,,,380.00,0.00,0,0,0
12/24/2014,380.00,,,380.00,0.00,0,0,0
12/23/2014,380.00,380.00,380.00,380.00,0.00,74,"28,120","28,120"
12/22/2014,380.00,380.00,380.00,380.00,0.00,120,"45,600","45,600"
12/19/2014,380.00,,,380.00,0.00,0,0,0
12/18/2014,380.00,380.00,380.00,380.00,0.26,366,"139,080","139,080"
12/17/2014,379.00,,,379.00,0.00,0,0,0
12/16/2014,379.00,379.00,379.00,379.00,0.00,100,"37,900","37,900"
12/15/2014,379.00,,,379.00,0.00,0,0,0
12/12/2014,379.00,,,379.00,0.00,0,0,0
12/11/2014,379.00,379.00,379.00,379.00,-2.82,144,"54,576","54,576"
12/10/2014,390.00,,,390.00,0.00,0,0,0
12/9/2014,390.00,,,390.00,0.00,0,0,0
12/5/2014,390.00,,,390.00,0.00,0,0,0
12/4/2014,390.00,,,390.00,0.00,0,0,0
12/2/2014,390.00,,,390.00,0.00,0,0,0
12/1/2014,390.00,390.00,390.00,390.00,2.90,197,"76,830","76,830"
11/28/2014,379.00,,,379.00,0.00,0,0,0
11/27/2014,379.00,,,379.00,0.00,0,0,0
11/26/2014,379.00,,,379.00,0.00,0,0,0
11/25/2014,379.00,379.00,379.00,379.00,-2.82,91,"34,489","34,489"
11/24/2014,390.00,,,390.00,0.00,0,0,0
11/21/2014,390.00,,,390.00,0.00,0,0,0
11/20/2014,390.00,,,390.00,0.00,0,0,0
11/19/2014,390.00,390.00,390.00,390.00,-11.36,250,"97,500","97,500"
11/18/2014,440.00,,,440.00,0.00,0,0,0
11/17/2014,440.00,,,440.00,0.00,0,0,0
12/30/2015,350.00,350.00,350.00,350.00,-2.78,74,"25,900","25,900"
12/29/2015,360.00,360.00,360.00,360.00,2.90,198,"71,280","71,280"
12/28/2015,350.00,350.00,349.00,349.85,0.48,712,"249,091","249,091"
12/25/2015,349.00,349.00,348.00,348.18,2.41,215,"74,858","74,858"
12/24/2015,340.00,,,340.00,0.00,0,0,0
12/23/2015,340.00,340.00,340.00,340.00,0.00,192,"65,280","65,280"
12/22/2015,340.00,,,340.00,0.00,0,0,0
12/21/2015,340.00,,,340.00,0.00,0,0,0
12/18/2015,340.00,,,340.00,0.00,0,0,0
12/17/2015,340.00,,,340.00,0.00,0,0,0
12/16/2015,340.00,,,340.00,0.00,0,0,0
12/15/2015,340.00,,,340.00,0.00,0,0,0
12/14/2015,340.00,340.00,340.00,340.00,2.72,177,"60,180","60,180"
12/11/2015,331.00,,,331.00,0.00,0,0,0
12/10/2015,331.00,,,331.00,0.00,0,0,0
12/9/2015,331.00,331.00,331.00,331.00,0.00,82,"27,142","27,142"
12/7/2015,331.00,,,331.00,0.00,0,0,0
12/4/2015,331.00,331.00,331.00,331.00,-2.65,150,"49,650","49,650"
12/3/2015,340.00,,,340.00,0.00,0,0,0
12/1/2015,340.00,,,340.00,0.00,0,0,0
11/30/2015,340.00,,,340.00,0.00,0,0,0
11/27/2015,340.00,,,340.00,0.00,0,0,0
11/26/2015,340.00,,,340.00,0.00,0,0,0
11/25/2015,340.00,,,340.00,0.00,0,0,0
11/24/2015,340.00,340.00,340.00,340.00,1.49,61,"20,740","20,740"
11/23/2015,335.00,,,335.00,0.00,0,0,0
11/20/2015,335.00,,,335.00,0.00,0,0,0
11/19/2015,335.00,,,335.00,0.00,0,0,0
11/18/2015,335.00,,,335.00,0.00,0,0,0
11/17/2015,335.00,335.00,335.00,335.00,-1.47,300,"100,500","100,500"
11/16/2015,340.00,,,340.00,0.00,0,0,0
11/13/2015,340.00,,,340.00,0.00,0,0,0
11/12/2015,340.00,,,340.00,0.00,0,0,0
11/11/2015,340.00,,,340.00,0.00,0,0,0
11/10/2015,340.00,,,340.00,0.00,0,0,0
11/9/2015,340.00,,,340.00,0.00,0,0,0
11/6/2015,340.00,340.00,340.00,340.00,-2.86,27,"9,180","9,180"
11/5/2015,350.00,,,350.00,0.00,0,0,0
11/4/2015,350.00,,,350.00,0.00,0,0,0
11/3/2015,350.00,,,350.00,0.00,0,0,0
11/2/2015,350.00,350.00,350.00,350.00,2.94,200,"70,000","70,000"
10/30/2015,340.00,340.00,340.00,340.00,2.41,631,"214,540","214,540"
10/29/2015,332.00,,,332.00,0.00,0,0,0
10/28/2015,332.00,,,332.00,0.00,0,0,0
10/27/2015,332.00,,,332.00,0.00,0,0,0
10/26/2015,332.00,,,332.00,0.00,0,0,0
10/22/2015,332.00,,,332.00,0.00,0,0,0
10/21/2015,332.00,332.00,332.00,332.00,-2.35,143,"47,476","47,476"
10/20/2015,340.00,,,340.00,0.00,0,0,0
10/19/2015,340.00,,,340.00,0.00,0,0,0
10/16/2015,340.00,,,340.00,0.00,0,0,0
10/15/2015,340.00,340.00,340.00,340.00,-2.86,191,"64,940","64,940"
10/14/2015,350.00,,,350.00,0.00,0,0,0
10/13/2015,350.00,,,350.00,0.00,0,0,0
10/9/2015,350.00,,,350.00,0.00,0,0,0
10/8/2015,350.00,,,350.00,0.00,0,0,0
10/7/2015,350.00,,,350.00,0.00,0,0,0
10/6/2015,350.00,,,350.00,0.00,0,0,0
10/5/2015,350.00,,,350.00,0.00,0,0,0
10/2/2015,350.00,,,350.00,0.00,0,0,0
10/1/2015,350.00,,,350.00,0.00,0,0,0
9/30/2015,350.00,350.00,350.00,350.00,2.94,30,"10,500","10,500"
9/29/2015,340.00,,,340.00,0.00,0,0,0
9/28/2015,340.00,,,340.00,0.00,0,0,0
9/25/2015,340.00,340.00,340.00,340.00,0.29,138,"46,920","46,920"
9/24/2015,339.00,339.00,339.00,339.00,2.73,83,"28,137","28,137"
9/23/2015,330.00,,,330.00,0.00,0,0,0
9/22/2015,330.00,330.00,330.00,330.00,0.00,289,"95,370","95,370"
9/21/2015,330.00,,,330.00,0.00,0,0,0
9/18/2015,330.00,,,330.00,0.00,0,0,0
9/17/2015,330.00,,,330.00,0.00,0,0,0
9/16/2015,330.00,,,330.00,0.00,0,0,0
9/15/2015,330.00,,,330.00,0.00,0,0,0
9/14/2015,330.00,330.00,330.00,330.00,-1.49,70,"23,100","23,100"
9/11/2015,335.00,,,335.00,0.00,0,0,0
9/10/2015,335.00,335.00,335.00,335.00,0.00,210,"70,350","70,350"
9/9/2015,335.00,,,335.00,0.00,0,0,0
9/7/2015,335.00,,,335.00,0.00,0,0,0
9/4/2015,335.00,,,335.00,0.00,0,0,0
9/3/2015,335.00,,,335.00,0.00,0,0,0
9/2/2015,335.00,335.00,335.00,335.00,1.52,179,"59,965","59,965"
9/1/2015,330.00,,,330.00,0.00,0,0,0
8/31/2015,330.00,,,330.00,0.00,0,0,0
8/27/2015,330.00,,,330.00,0.00,0,0,0
8/26/2015,330.00,,,330.00,0.00,0,0,0
8/25/2015,330.00,,,330.00,0.00,0,0,0
8/24/2015,330.00,,,330.00,0.00,0,0,0
8/21/2015,330.00,,,330.00,0.00,0,0,0
8/20/2015,330.00,,,330.00,0.00,0,0,0
8/19/2015,330.00,,,330.00,0.00,0,0,0
8/18/2015,330.00,,,330.00,0.00,0,0,0
8/17/2015,330.00,,,330.00,0.00,0,0,0
8/14/2015,330.00,,,330.00,0.00,0,0,0
8/13/2015,330.00,,,330.00,0.00,0,0,0
8/12/2015,330.00,330.00,330.00,330.00,0.00,498,"164,340","164,340"
8/11/2015,330.00,,,330.00,0.00,0,0,0
8/10/2015,330.00,,,330.00,0.00,0,0,0
8/7/2015,330.00,,,330.00,0.00,0,0,0
8/6/2015,330.00,330.00,330.00,330.00,8.20,706,"232,980","232,980"
8/5/2015,305.00,,,305.00,0.00,0,0,0
8/4/2015,305.00,,,305.00,0.00,0,0,0
7/31/2015,305.00,305.00,305.00,305.00,1.67,123,"37,515","37,515"
7/30/2015,300.00,,,300.00,0.00,0,0,0
7/29/2015,300.00,300.00,300.00,300.00,0.00,103,"30,900","30,900"
7/28/2015,300.00,,,300.00,0.00,0,0,0
7/27/2015,300.00,,,300.00,0.00,0,0,0
7/24/2015,300.00,300.00,300.00,300.00,-9.09,6,"1,800","1,800"
7/23/2015,330.00,,,330.00,0.00,0,0,0
7/22/2015,330.00,,,330.00,0.00,0,0,0
7/21/2015,330.00,,,330.00,0.00,0,0,0
7/20/2015,330.00,,,330.00,0.00,0,0,0
7/16/2015,330.00,,,330.00,0.00,0,0,0
7/15/2015,330.00,,,330.00,0.00,0,0,0
7/14/2015,330.00,,,330.00,0.00,0,0,0
7/13/2015,330.00,,,330.00,0.00,0,0,0
7/10/2015,330.00,330.00,330.00,330.00,0.00,294,"97,020","97,020"
7/9/2015,330.00,,,330.00,0.00,0,0,0
7/8/2015,330.00,,,330.00,0.00,0,0,0
