Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,82.00,,,82.00,0.00,0,0,0
12/29/2014,82.00,82.00,82.00,82.00,2.50,100,"8,200","8,200"
12/26/2014,80.00,80.00,80.00,80.00,2.56,340,"27,200","27,200"
12/25/2014,78.00,78.00,78.00,78.00,-1.07,530,"41,340","41,340"
12/24/2014,78.00,79.00,78.00,78.84,1.08,595,"46,910","46,910"
12/23/2014,78.00,78.00,78.00,78.00,0.00,"1,000","78,000","78,000"
12/22/2014,78.00,78.00,78.00,78.00,-1.47,486,"37,908","37,908"
12/19/2014,78.00,80.00,78.00,79.16,1.49,862,"68,240","68,240"
12/18/2014,78.00,78.00,78.00,78.00,0.00,"1,317","102,726","102,726"
12/17/2014,78.00,78.00,78.00,78.00,0.00,159,"12,402","12,402"
12/16/2014,78.00,78.00,78.00,78.00,-2.50,502,"39,156","39,156"
12/15/2014,80.00,,,80.00,0.00,0,0,0
12/12/2014,80.00,80.00,80.00,80.00,0.00,200,"16,000","16,000"
12/11/2014,80.00,80.00,80.00,80.00,8.11,500,"40,000","40,000"
12/10/2014,74.00,,,74.00,0.00,0,0,0
12/9/2014,74.00,74.00,74.00,74.00,-5.13,357,"26,418","26,418"
12/5/2014,78.00,78.00,78.00,78.00,0.00,"1,752","136,656","136,656"
12/4/2014,78.00,78.00,78.00,78.00,-2.49,300,"23,400","23,400"
12/2/2014,80.00,80.00,78.00,79.99,2.55,402,"32,156","32,156"
12/1/2014,78.00,,,78.00,0.00,0,0,0
11/28/2014,78.00,,,78.00,0.00,0,0,0
11/27/2014,78.00,78.00,78.00,78.00,-2.39,500,"39,000","39,000"
11/26/2014,79.00,,,79.91,0.00,0,0,0
11/25/2014,79.00,80.00,79.00,79.91,-1.35,"3,533","282,307","282,307"
11/24/2014,81.00,81.00,81.00,81.00,-2.41,600,"48,600","48,600"
11/21/2014,83.00,83.00,83.00,83.00,2.47,100,"8,300","8,300"
11/20/2014,81.00,81.00,81.00,81.00,-1.22,706,"57,186","57,186"
11/19/2014,82.00,82.00,82.00,82.00,-2.38,"1,550","127,100","127,100"
11/18/2014,84.00,,,84.00,0.00,0,0,0
11/17/2014,84.00,84.00,84.00,84.00,-2.33,15,"1,260","1,260"
12/29/2016,82.00,82.00,82.00,82.00,0.58,"1,000","82,000","82,000"
12/28/2016,80.00,82.00,80.00,81.53,-0.57,"2,607","212,560","212,560"
12/27/2016,82.00,,,82.00,0.00,0,0,0
12/26/2016,82.00,82.00,82.00,82.00,2.32,700,"57,400","57,400"
12/23/2016,81.00,81.00,80.00,80.14,7.87,700,"56,100","56,100"
12/22/2016,80.00,80.00,72.00,74.29,0.31,"1,400","104,000","104,000"
12/21/2016,77.00,,,74.06,0.00,0,0,0
12/20/2016,77.00,77.00,73.00,74.06,5.80,"9,040","669,460","669,460"
12/19/2016,70.00,70.00,70.00,70.00,-9.09,228,"15,960","15,960"
12/16/2016,77.00,,,77.00,0.00,0,0,0
12/15/2016,77.00,,,77.00,0.00,0,0,0
12/14/2016,77.00,,,77.00,0.00,0,0,0
12/13/2016,77.00,77.00,77.00,77.00,-3.75,400,"30,800","30,800"
12/12/2016,80.00,80.00,80.00,80.00,0.00,"1,500","120,000","120,000"
12/9/2016,80.00,80.00,80.00,80.00,-5.88,"1,000","80,000","80,000"
12/7/2016,85.00,,,85.00,0.00,0,0,0
12/6/2016,85.00,,,85.00,0.00,0,0,0
12/5/2016,85.00,,,85.00,0.00,0,0,0
