Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/29/2016,260.00,260.00,260.00,260.00,0.00,"2,100","546,000","546,000"
12/28/2016,260.00,260.00,260.00,260.00,-0.44,"2,090","543,400","543,400"
12/27/2016,260.00,270.00,260.00,261.14,0.44,"1,320","344,700","344,700"
12/26/2016,260.00,260.00,260.00,260.00,0.28,900,"234,000","234,000"
12/23/2016,259.00,264.00,259.00,259.28,0.89,"1,465","379,840","379,840"
12/22/2016,257.00,,,257.00,0.00,0,0,0
12/21/2016,257.00,257.00,257.00,257.00,0.78,300,"77,100","77,100"
12/20/2016,255.00,,,255.00,0.00,0,0,0
12/19/2016,255.00,255.00,255.00,255.00,-3.41,658,"167,790","167,790"
12/16/2016,264.00,264.00,264.00,264.00,3.39,15,"3,960","3,960"
12/15/2016,255.00,256.00,255.00,255.35,-1.03,576,"147,080","147,080"
12/14/2016,258.00,258.00,258.00,258.00,0.00,180,"46,440","46,440"
12/13/2016,258.00,258.00,258.00,258.00,-2.27,837,"215,946","215,946"
12/12/2016,264.00,,,264.00,0.00,0,0,0
12/9/2016,264.00,,,264.00,0.00,0,0,0
12/7/2016,264.00,,,264.00,0.00,0,0,0
12/6/2016,264.00,264.00,264.00,264.00,3.53,10,"2,640","2,640"
12/5/2016,255.00,255.00,255.00,255.00,-1.38,"1,000","255,000","255,000"
12/2/2016,258.00,260.00,258.00,258.57,-2.06,"1,400","362,000","362,000"
12/1/2016,264.00,264.00,264.00,264.00,0.00,15,"3,960","3,960"
11/29/2016,264.00,264.00,264.00,264.00,1.69,27,"7,128","7,128"
11/28/2016,258.00,262.00,258.00,259.60,-2.04,700,"181,720","181,720"
11/25/2016,265.00,,,265.00,0.00,0,0,0
11/24/2016,265.00,265.00,265.00,265.00,0.30,10,"2,650","2,650"
11/23/2016,265.00,265.00,263.00,264.20,-0.16,250,"66,050","66,050"
11/22/2016,265.00,,,264.63,0.00,0,0,0
11/21/2016,265.00,265.00,263.00,264.63,0.11,"1,369","362,278","362,278"
11/18/2016,264.00,265.00,263.00,264.35,-0.16,"1,538","406,570","406,570"
11/17/2016,263.00,265.00,263.00,264.78,0.07,"2,695","713,575","713,575"
11/16/2016,264.00,265.00,264.00,264.60,0.99,"1,664","440,296","440,296"
11/15/2016,262.00,262.00,262.00,262.00,-0.14,30,"7,860","7,860"
11/14/2016,262.00,263.00,262.00,262.36,-2.10,140,"36,730","36,730"
11/11/2016,268.00,268.00,268.00,268.00,0.00,"1,500","402,000","402,000"
11/10/2016,268.00,268.00,268.00,268.00,0.00,250,"67,000","67,000"
11/9/2016,268.00,,,268.00,0.00,0,0,0
11/8/2016,268.00,268.00,268.00,268.00,-0.12,203,"54,404","54,404"
11/7/2016,269.00,269.00,265.00,268.33,-0.62,120,"32,200","32,200"
11/4/2016,270.00,,,270.00,0.00,0,0,0
11/3/2016,270.00,,,270.00,0.00,0,0,0
11/2/2016,270.00,,,270.00,0.00,0,0,0
11/1/2016,270.00,270.00,270.00,270.00,0.00,321,"86,670","86,670"
10/31/2016,270.00,270.00,270.00,270.00,0.00,900,"243,000","243,000"
