Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,650.00,650.00,650.00,650.00,0.00,53,"34,450","34,450"
12/29/2014,650.00,,,650.00,0.00,0,0,0
12/26/2014,650.00,,,650.00,0.00,0,0,0
12/25/2014,650.00,650.00,650.00,650.00,0.00,107,"69,550","69,550"
12/24/2014,650.00,,,650.00,0.00,0,0,0
12/23/2014,650.00,,,650.00,0.00,0,0,0
12/22/2014,650.00,,,650.00,0.00,0,0,0
12/19/2014,650.00,,,650.00,0.00,0,0,0
12/18/2014,650.00,,,650.00,0.00,0,0,0
12/17/2014,650.00,,,650.00,0.00,0,0,0
12/16/2014,650.00,,,650.00,0.00,0,0,0
12/15/2014,650.00,,,650.00,0.00,0,0,0
12/12/2014,650.00,,,650.00,0.00,0,0,0
12/11/2014,650.00,650.00,650.00,650.00,3.17,216,"140,400","140,400"
12/10/2014,630.00,630.00,630.00,630.00,0.00,50,"31,500","31,500"
12/9/2014,630.00,,,630.00,0.00,0,0,0
12/5/2014,630.00,630.00,630.00,630.00,1.61,87,"54,810","54,810"
12/4/2014,620.00,,,620.00,0.00,0,0,0
12/2/2014,620.00,620.00,620.00,620.00,0.49,50,"31,000","31,000"
12/1/2014,617.00,,,617.00,0.00,0,0,0
11/28/2014,617.00,,,617.00,0.00,0,0,0
11/27/2014,617.00,,,617.00,0.00,0,0,0
11/26/2014,617.00,,,617.00,0.00,0,0,0
11/25/2014,617.00,,,617.00,0.00,0,0,0
11/24/2014,617.00,,,617.00,0.00,0,0,0
11/21/2014,617.00,,,617.00,0.00,0,0,0
11/20/2014,617.00,,,617.00,0.00,0,0,0
11/19/2014,617.00,,,617.00,0.00,0,0,0
11/18/2014,617.00,617.00,617.00,617.00,-3.44,50,"30,850","30,850"
11/17/2014,639.00,,,639.00,0.00,0,0,0
12/29/2016,935.00,,,935.00,0.00,0,0,0
12/28/2016,935.00,,,935.00,0.00,0,0,0
12/27/2016,935.00,,,935.00,0.00,0,0,0
12/26/2016,935.00,,,935.00,0.00,0,0,0
12/23/2016,935.00,,,935.00,0.00,0,0,0
12/22/2016,935.00,,,935.00,0.00,0,0,0
12/21/2016,935.00,,,935.00,0.00,0,0,0
12/20/2016,935.00,,,935.00,0.00,0,0,0
12/19/2016,935.00,,,935.00,0.00,0,0,0
12/16/2016,935.00,,,935.00,0.00,0,0,0
12/15/2016,935.00,,,935.00,0.00,0,0,0
12/14/2016,935.00,,,935.00,0.00,0,0,0
12/13/2016,935.00,,,935.00,0.00,0,0,0
12/12/2016,935.00,,,935.00,0.00,0,0,0
12/9/2016,935.00,,,935.00,0.00,0,0,0
12/7/2016,935.00,935.00,935.00,935.00,0.00,45,"42,075","42,075"
