Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/29/2016,"8,701.00",,,"8,701.53",0.00,0,0,0
12/28/2016,"8,701.00","8,705.00","8,701.00","8,701.53",0.02,98,"852,750","852,750"
12/27/2016,"8,700.00","8,700.00","8,700.00","8,700.00",0.58,132,"1,148,400","1,148,400"
12/26/2016,"8,650.00",,,"8,650.00",0.00,0,0,0
12/23/2016,"8,650.00",,,"8,650.00",0.00,0,0,0
12/22/2016,"8,650.00",,,"8,650.00",0.00,0,0,0
12/21/2016,"8,650.00",,,"8,650.00",0.00,0,0,0
12/20/2016,"8,650.00","8,650.00","8,650.00","8,650.00",-0.57,10,"86,500","86,500"
12/19/2016,"8,700.00","8,700.00","8,700.00","8,700.00",1.16,50,"435,000","435,000"
12/16/2016,"8,600.00","8,600.00","8,600.00","8,600.00",-0.19,8,"68,800","68,800"
12/15/2016,"8,600.00","8,630.00","8,600.00","8,616.44",0.19,73,"629,000","629,000"
12/14/2016,"8,600.00",,,"8,600.00",0.00,0,0,0
12/13/2016,"8,600.00","8,600.00","8,600.00","8,600.00",0.00,76,"653,600","653,600"
12/12/2016,"8,600.00","8,600.00","8,600.00","8,600.00",1.18,16,"137,600","137,600"
12/9/2016,"8,502.00","8,502.00","8,500.00","8,500.09",0.72,45,"382,504","382,504"
12/7/2016,"8,439.00",,,"8,439.00",0.00,0,0,0
12/6/2016,"8,439.00",,,"8,439.00",0.00,0,0,0
12/5/2016,"8,439.00","8,439.00","8,439.00","8,439.00",-3.00,1,"8,439","8,439"
12/2/2016,"8,700.00",,,"8,700.00",0.00,0,0,0
12/1/2016,"8,700.00","8,700.00","8,700.00","8,700.00",0.00,20,"174,000","174,000"
11/29/2016,"8,700.00",,,"8,700.00",0.00,0,0,0
11/28/2016,"8,700.00","8,700.00","8,700.00","8,700.00",0.00,102,"887,400","887,400"
11/25/2016,"8,700.00","8,701.00","8,700.00","8,700.14",0.21,81,"704,711","704,711"
11/24/2016,"8,670.00",,,"8,682.00",0.00,0,0,0
11/23/2016,"8,670.00",,,"8,682.00",0.00,0,0,0
11/22/2016,"8,670.00","8,700.00","8,670.00","8,682.00",-0.14,185,"1,606,170","1,606,170"
11/21/2016,"8,650.00",,,"8,694.44",0.00,0,0,0
11/18/2016,"8,650.00","8,750.00","8,650.00","8,694.44",0.30,36,"313,000","313,000"
11/17/2016,"8,700.00","8,700.00","8,630.00","8,668.40",0.72,144,"1,248,250","1,248,250"
11/16/2016,"8,600.00","8,700.00","8,600.00","8,606.25",-0.39,176,"1,514,700","1,514,700"
11/15/2016,"8,700.00","8,700.00","8,600.00","8,640.00",0.47,25,"216,000","216,000"
11/14/2016,"8,600.00","8,600.00","8,600.00","8,600.00",-0.49,"1,023","8,797,800","8,797,800"
11/11/2016,"8,643.00",,,"8,642.55",0.00,0,0,0
11/10/2016,"8,643.00","8,643.00","8,640.00","8,642.55",-0.01,53,"458,055","458,055"
11/9/2016,"8,643.00",,,"8,643.00",0.00,0,0,0
11/8/2016,"8,643.00","8,643.00","8,643.00","8,643.00",0.00,75,"648,225","648,225"
11/7/2016,"8,643.00","8,643.00","8,643.00","8,643.00",9.99,153,"1,322,379","1,322,379"
11/4/2016,"7,870.00",,,"7,857.65",0.00,0,0,0
11/3/2016,"7,870.00","7,870.00","7,850.00","7,857.65",0.86,162,"1,272,940","1,272,940"
11/2/2016,"7,800.00",,,"7,790.65",0.00,0,0,0
11/1/2016,"7,800.00","7,800.00","7,750.00","7,790.65",0.52,246,"1,916,500","1,916,500"
10/31/2016,"7,750.00","7,750.00","7,750.00","7,750.00",0.00,141,"1,092,750","1,092,750"
10/28/2016,"7,750.00","7,750.00","7,750.00","7,750.00",0.01,38,"294,500","294,500"
10/27/2016,"7,750.00","7,750.00","7,749.00","7,749.60",-0.01,50,"387,480","387,480"
10/26/2016,"7,750.00","7,750.00","7,750.00","7,750.00",0.01,102,"790,500","790,500"
10/25/2016,"7,750.00","7,750.00","7,749.00","7,749.37",0.00,27,"209,233","209,233"
10/21/2016,"7,749.00","7,749.00","7,749.00","7,749.00",0.10,4,"30,996","30,996"
10/20/2016,"7,749.00","7,749.00","7,700.00","7,741.26",0.43,19,"147,084","147,084"
10/19/2016,"7,700.00","7,749.00","7,700.00","7,708.32",-0.01,77,"593,541","593,541"
10/18/2016,"7,749.00","7,749.00","7,700.00","7,709.16",0.22,123,"948,227","948,227"
10/17/2016,"7,700.00","7,700.00","7,680.00","7,692.00",-0.09,100,"769,200","769,200"
10/14/2016,"7,698.00","7,700.00","7,698.00","7,699.23",0.67,100,"769,923","2,667,123"
10/13/2016,"7,650.00","7,650.00","7,600.00","7,648.09",1.28,555,"4,244,689","4,244,689"
10/12/2016,"7,511.00","7,560.00","7,511.00","7,551.16",0.02,95,"717,360","717,360"
10/10/2016,"7,550.00",,,"7,550.00",0.00,0,0,0
10/7/2016,"7,550.00",,,"7,550.00",0.00,0,0,0
10/6/2016,"7,550.00","7,550.00","7,550.00","7,550.00",0.00,66,"498,300","498,300"
10/5/2016,"7,550.00","7,550.00","7,550.00","7,550.00",0.01,19,"143,450","143,450"
10/4/2016,"7,550.00","7,550.00","7,549.00","7,549.44",0.53,72,"543,560","543,560"
