Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,700.00,,,700.00,0.00,0,0,0
12/29/2014,700.00,,,700.00,0.00,0,0,0
12/26/2014,700.00,,,700.00,0.00,0,0,0
12/25/2014,700.00,,,700.00,0.00,0,0,0
12/24/2014,700.00,,,700.00,0.00,0,0,0
12/23/2014,700.00,,,700.00,0.00,0,0,0
12/22/2014,700.00,,,700.00,0.00,0,0,0
12/19/2014,700.00,,,700.00,0.00,0,0,0
12/18/2014,700.00,,,700.00,0.00,0,0,0
12/17/2014,700.00,,,700.00,0.00,0,0,0
12/16/2014,700.00,,,700.00,0.00,0,0,0
12/15/2014,700.00,,,700.00,0.00,0,0,0
12/12/2014,700.00,,,700.00,0.00,0,0,0
12/11/2014,700.00,,,700.00,0.00,0,0,0
12/10/2014,700.00,,,700.00,0.00,0,0,0
12/9/2014,700.00,,,700.00,0.00,0,0,0
12/5/2014,700.00,,,700.00,0.00,0,0,0
12/4/2014,700.00,,,700.00,0.00,0,0,0
12/2/2014,700.00,,,700.00,0.00,0,0,0
12/1/2014,700.00,,,700.00,0.00,0,0,0
11/28/2014,700.00,,,700.00,0.00,0,0,0
11/27/2014,700.00,,,700.00,0.00,0,0,0
11/26/2014,700.00,,,700.00,0.00,0,0,0
11/25/2014,700.00,,,700.00,0.00,0,0,0
11/24/2014,700.00,,,700.00,0.00,0,0,0
11/21/2014,700.00,,,700.00,0.00,0,0,0
11/20/2014,700.00,,,700.00,0.00,0,0,0
11/19/2014,700.00,700.00,700.00,700.00,-1.27,80,"56,000","56,000"
11/18/2014,709.00,,,709.00,0.00,0,0,0
11/17/2014,709.00,,,709.00,0.00,0,0,0
12/30/2015,580.00,,,580.00,0.00,0,0,0
12/29/2015,580.00,,,580.00,0.00,0,0,0
12/28/2015,580.00,,,580.00,0.00,0,0,0
12/25/2015,580.00,,,580.00,0.00,0,0,0
12/24/2015,580.00,,,580.00,0.00,0,0,0
12/23/2015,580.00,,,580.00,0.00,0,0,0
12/22/2015,580.00,,,580.00,0.00,0,0,0
12/21/2015,580.00,,,580.00,0.00,0,0,0
12/18/2015,580.00,580.00,580.00,580.00,2.29,738,"428,040","428,040"
12/17/2015,567.00,567.00,567.00,567.00,2.90,"1,200","680,400","680,400"
12/16/2015,551.00,551.00,551.00,551.00,0.18,"2,100","1,157,100","1,157,100"
12/15/2015,550.00,550.00,550.00,550.00,4.76,"2,450","1,347,500","1,347,500"
12/14/2015,525.00,,,525.00,0.00,0,0,0
12/11/2015,525.00,525.00,525.00,525.00,1.16,566,"297,150","297,150"
12/10/2015,519.00,519.00,519.00,519.00,0.00,"1,636","849,084","849,084"
12/9/2015,519.00,,,519.00,0.00,0,0,0
12/7/2015,519.00,519.00,519.00,519.00,-5.64,692,"359,148","359,148"
12/4/2015,550.00,550.00,550.00,550.00,0.00,41,"22,550","22,550"
12/3/2015,550.00,550.00,550.00,550.00,-8.18,320,"176,000","176,000"
12/1/2015,599.00,,,599.00,0.00,0,0,0
11/30/2015,599.00,,,599.00,0.00,0,0,0
11/27/2015,599.00,,,599.00,0.00,0,0,0
11/26/2015,599.00,,,599.00,0.00,0,0,0
11/25/2015,599.00,599.00,599.00,599.00,8.91,9,"5,391","5,391"
11/24/2015,550.00,550.00,550.00,550.00,0.00,80,"44,000","44,000"
11/23/2015,550.00,,,550.00,0.00,0,0,0
11/20/2015,550.00,,,550.00,0.00,0,0,0
11/19/2015,550.00,550.00,550.00,550.00,0.00,370,"203,500","203,500"
11/18/2015,550.00,550.00,550.00,550.00,0.00,16,"8,800","8,800"
11/17/2015,550.00,550.00,550.00,550.00,1.29,100,"55,000","55,000"
11/16/2015,543.00,,,543.00,0.00,0,0,0
11/13/2015,543.00,543.00,543.00,543.00,19.87,35,"19,005","19,005"
11/12/2015,453.00,,,453.00,0.00,0,0,0
11/11/2015,453.00,453.00,453.00,453.00,-13.88,"145,584","65,949,552","65,949,552"
11/10/2015,526.00,,,526.00,0.00,0,0,0
11/9/2015,526.00,,,526.00,0.00,0,0,0
11/6/2015,526.00,,,526.00,0.00,0,0,0
11/5/2015,526.00,,,526.00,0.00,0,0,0
11/4/2015,526.00,,,526.00,0.00,0,0,0
11/3/2015,526.00,526.00,526.00,526.00,4.57,240,"126,240","126,240"
11/2/2015,503.00,,,503.00,0.00,0,0,0
10/30/2015,503.00,503.00,503.00,503.00,0.00,"1,115","560,845","560,845"
10/29/2015,503.00,,,503.00,0.00,0,0,0
10/28/2015,503.00,,,503.00,0.00,0,0,0
10/27/2015,503.00,,,503.00,0.00,0,0,0
10/26/2015,503.00,503.00,503.00,503.00,0.00,292,"146,876","146,876"
10/22/2015,503.00,,,503.00,0.00,0,0,0
10/21/2015,503.00,,,503.00,0.00,0,0,0
10/20/2015,503.00,,,503.00,0.00,0,0,0
10/19/2015,503.00,,,503.00,0.00,0,0,0
10/16/2015,503.00,,,503.00,0.00,0,0,0
10/15/2015,503.00,,,503.00,0.00,0,0,0
10/14/2015,503.00,,,503.00,0.00,0,0,0
10/13/2015,503.00,,,503.00,0.00,0,0,0
10/9/2015,503.00,,,503.00,0.00,0,0,0
10/8/2015,503.00,,,503.00,0.00,0,0,0
10/7/2015,503.00,,,503.00,0.00,0,0,0
10/6/2015,503.00,,,503.00,0.00,0,0,0
10/5/2015,503.00,,,503.00,0.00,0,0,0
10/2/2015,503.00,,,503.00,0.00,0,0,0
10/1/2015,503.00,,,503.00,0.00,0,0,0
9/30/2015,503.00,,,503.00,0.00,0,0,0
9/29/2015,503.00,,,503.00,0.00,0,0,0
9/28/2015,503.00,,,503.00,0.00,0,0,0
9/25/2015,503.00,,,503.00,0.00,0,0,0
9/24/2015,503.00,,,503.00,0.00,0,0,0
9/23/2015,503.00,,,503.00,0.00,0,0,0
9/22/2015,503.00,,,503.00,0.00,0,0,0
9/21/2015,503.00,,,503.00,0.00,0,0,0
9/18/2015,503.00,,,503.00,0.00,0,0,0
9/17/2015,503.00,,,503.00,0.00,0,0,0
9/16/2015,503.00,,,503.00,0.00,0,0,0
9/15/2015,503.00,,,503.00,0.00,0,0,0
9/14/2015,503.00,,,503.00,0.00,0,0,0
9/11/2015,503.00,,,503.00,0.00,0,0,0
9/10/2015,503.00,,,503.00,0.00,0,0,0
9/9/2015,503.00,503.00,503.00,503.00,-2.90,100,"50,300","50,300"
9/7/2015,518.00,,,518.00,0.00,0,0,0
9/4/2015,518.00,,,518.00,0.00,0,0,0
9/3/2015,518.00,518.00,518.00,518.00,2.78,55,"28,490","28,490"
9/2/2015,504.00,,,504.00,0.00,0,0,0
9/1/2015,504.00,,,504.00,0.00,0,0,0
8/31/2015,504.00,,,504.00,0.00,0,0,0
8/27/2015,504.00,,,504.00,0.00,0,0,0
8/26/2015,504.00,,,504.00,0.00,0,0,0
8/25/2015,504.00,,,504.00,0.00,0,0,0
8/24/2015,504.00,,,504.00,0.00,0,0,0
8/21/2015,504.00,,,504.00,0.00,0,0,0
8/20/2015,504.00,,,504.00,0.00,0,0,0
8/19/2015,504.00,,,504.00,0.00,0,0,0
8/18/2015,504.00,,,504.00,0.00,0,0,0
8/17/2015,504.00,,,504.00,0.00,0,0,0
8/14/2015,504.00,,,504.00,0.00,0,0,0
8/13/2015,504.00,,,504.00,0.00,0,0,0
8/12/2015,504.00,,,504.00,0.00,0,0,0
8/11/2015,504.00,,,504.00,0.00,0,0,0
8/10/2015,504.00,,,504.00,0.00,0,0,0
8/7/2015,504.00,,,504.00,0.00,0,0,0
8/6/2015,504.00,,,504.00,0.00,0,0,0
8/5/2015,504.00,,,504.00,0.00,0,0,0
8/4/2015,504.00,,,504.00,0.00,0,0,0
7/31/2015,504.00,,,504.00,0.00,0,0,0
7/30/2015,504.00,504.00,504.00,504.00,2.86,13,"6,552","6,552"
7/29/2015,490.00,,,490.00,0.00,0,0,0
7/28/2015,490.00,,,490.00,0.00,0,0,0
7/27/2015,490.00,,,490.00,0.00,0,0,0
7/24/2015,490.00,,,490.00,0.00,0,0,0
7/23/2015,490.00,,,490.00,0.00,0,0,0
7/22/2015,490.00,,,490.00,0.00,0,0,0
7/21/2015,490.00,,,490.00,0.00,0,0,0
7/20/2015,490.00,,,490.00,0.00,0,0,0
7/16/2015,490.00,,,490.00,0.00,0,0,0
7/15/2015,490.00,,,490.00,0.00,0,0,0
7/14/2015,490.00,,,490.00,0.00,0,0,0
7/13/2015,490.00,,,490.00,0.00,0,0,0
7/10/2015,490.00,,,490.00,0.00,0,0,0
7/9/2015,490.00,,,490.00,0.00,0,0,0
7/8/2015,490.00,,,490.00,0.00,0,0,0
7/7/2015,490.00,,,490.00,0.00,0,0,0
7/6/2015,490.00,,,490.00,0.00,0,0,0
7/3/2015,490.00,,,490.00,0.00,0,0,0
7/2/2015,490.00,,,490.00,0.00,0,0,0
7/1/2015,490.00,,,490.00,0.00,0,0,0
6/30/2015,490.00,,,490.00,0.00,0,0,0
6/29/2015,490.00,,,490.00,0.00,0,0,0
6/26/2015,490.00,,,490.00,0.00,0,0,0
6/25/2015,490.00,,,490.00,0.00,0,0,0
6/24/2015,490.00,,,490.00,0.00,0,0,0
6/23/2015,490.00,,,490.00,0.00,0,0,0
6/22/2015,490.00,,,490.00,0.00,0,0,0
6/19/2015,490.00,,,490.00,0.00,0,0,0
6/18/2015,490.00,,,490.00,0.00,0,0,0
6/17/2015,490.00,,,490.00,0.00,0,0,0
6/16/2015,490.00,,,490.00,0.00,0,0,0
6/15/2015,490.00,,,490.00,0.00,0,0,0
6/12/2015,490.00,,,490.00,0.00,0,0,0
6/11/2015,490.00,,,490.00,0.00,0,0,0
6/10/2015,490.00,,,490.00,0.00,0,0,0
6/9/2015,490.00,,,490.00,0.00,0,0,0
6/8/2015,490.00,490.00,490.00,490.00,0.00,44,"21,560","21,560"
6/5/2015,490.00,,,490.00,0.00,0,0,"14,122,240"
6/4/2015,490.00,,,490.00,0.00,0,0,0
6/3/2015,490.00,,,490.00,0.00,0,0,0
6/2/2015,490.00,,,490.00,0.00,0,0,0
6/1/2015,490.00,,,490.00,0.00,0,0,0
5/28/2015,490.00,,,490.00,0.00,0,0,0
5/27/2015,490.00,,,490.00,0.00,0,0,0
5/26/2015,490.00,,,490.00,0.00,0,0,0
5/22/2015,490.00,,,490.00,0.00,0,0,0
5/21/2015,490.00,,,490.00,0.00,0,0,0
5/20/2015,490.00,,,490.00,0.00,0,0,0
5/19/2015,490.00,,,490.00,0.00,0,0,0
5/18/2015,490.00,,,490.00,0.00,0,0,0
5/15/2015,490.00,,,490.00,0.00,0,0,0
5/14/2015,490.00,,,490.00,0.00,0,0,0
5/13/2015,490.00,,,490.00,0.00,0,0,0
5/12/2015,490.00,,,490.00,0.00,0,0,0
5/11/2015,490.00,490.00,490.00,490.00,0.00,35,"17,150","17,150"
5/8/2015,490.00,,,490.00,0.00,0,0,0
5/7/2015,490.00,490.00,490.00,490.00,4.03,"1,118","547,820","547,820"
5/6/2015,471.00,,,471.00,0.00,0,0,0
5/5/2015,471.00,,,471.00,0.00,0,0,0
5/4/2015,471.00,,,471.00,0.00,0,0,0
4/30/2015,471.00,,,471.00,0.00,0,0,0
4/29/2015,471.00,,,471.00,0.00,0,0,0
4/28/2015,471.00,,,471.00,0.00,0,0,0
4/27/2015,471.00,,,471.00,0.00,0,0,0
4/24/2015,471.00,,,471.00,0.00,0,0,0
4/23/2015,471.00,,,471.00,0.00,0,0,0
4/22/2015,471.00,,,471.00,0.00,0,0,0
4/21/2015,471.00,,,471.00,0.00,0,0,0
4/20/2015,471.00,,,471.00,0.00,0,0,0
4/17/2015,471.00,,,471.00,0.00,0,0,0
4/16/2015,471.00,471.00,471.00,471.00,0.00,59,"27,789","27,789"
4/15/2015,471.00,,,471.00,0.00,0,0,0
4/14/2015,471.00,,,471.00,0.00,0,0,0
4/9/2015,471.00,,,471.00,0.00,0,0,0
4/8/2015,471.00,471.00,471.00,471.00,-2.89,95,"44,745","44,745"
4/7/2015,485.00,,,485.00,0.00,0,0,0
4/6/2015,485.00,,,485.00,0.00,0,0,0
4/3/2015,485.00,485.00,485.00,485.00,0.00,344,"166,840","166,840"
4/2/2015,485.00,,,485.00,0.00,0,0,0
4/1/2015,485.00,,,485.00,0.00,0,0,0
3/31/2015,485.00,,,485.00,0.00,0,0,0
3/30/2015,485.00,,,485.00,0.00,0,0,0
3/27/2015,485.00,,,485.00,0.00,0,0,0
3/26/2015,485.00,,,485.00,0.00,0,0,0
3/25/2015,485.00,485.00,485.00,485.00,-14.16,57,"27,645","27,645"
3/24/2015,565.00,565.00,565.00,565.00,0.00,91,"51,415","51,415"
3/23/2015,565.00,,,565.00,0.00,0,0,0
3/20/2015,565.00,565.00,565.00,565.00,0.00,55,"31,075","31,075"
3/19/2015,565.00,,,565.00,0.00,0,0,0
3/18/2015,565.00,565.00,565.00,565.00,0.00,7,"3,955","3,955"
3/17/2015,565.00,,,565.00,0.00,0,0,0
3/16/2015,565.00,,,565.00,0.00,0,0,0
3/13/2015,565.00,,,565.00,0.00,0,0,0
3/12/2015,565.00,,,565.00,0.00,0,0,0
3/11/2015,565.00,,,565.00,0.00,0,0,0
3/10/2015,565.00,,,565.00,0.00,0,0,0
3/9/2015,565.00,,,565.00,0.00,0,0,0
3/6/2015,565.00,,,565.00,0.00,0,0,0
3/5/2015,565.00,,,565.00,0.00,0,0,0
3/4/2015,565.00,,,565.00,0.00,0,0,0
3/3/2015,565.00,565.00,565.00,565.00,0.00,35,"19,775","19,775"
3/2/2015,565.00,565.00,565.00,565.00,-2.92,100,"56,500","56,500"
2/27/2015,582.00,,,582.00,0.00,0,0,0
2/26/2015,582.00,,,582.00,0.00,0,0,0
2/25/2015,582.00,,,582.00,0.00,0,0,0
2/24/2015,582.00,,,582.00,0.00,0,0,0
2/23/2015,582.00,582.00,582.00,582.00,-3.00,100,"58,200","58,200"
2/20/2015,600.00,,,600.00,0.00,0,0,0
2/19/2015,600.00,600.00,600.00,600.00,0.00,120,"72,000","72,000"
2/18/2015,600.00,600.00,600.00,600.00,-4.91,67,"40,200","40,200"
2/17/2015,631.00,,,631.00,0.00,0,0,0
2/16/2015,631.00,,,631.00,0.00,0,0,0
2/13/2015,631.00,,,631.00,0.00,0,0,0
2/12/2015,631.00,,,631.00,0.00,0,0,0
2/11/2015,631.00,631.00,631.00,631.00,0.00,83,"52,373","52,373"
2/10/2015,631.00,,,631.00,0.00,0,0,0
2/9/2015,631.00,,,631.00,0.00,0,0,0
2/6/2015,631.00,,,631.00,0.00,0,0,0
2/5/2015,631.00,,,631.00,0.00,0,0,0
2/4/2015,631.00,,,631.00,0.00,0,0,0
2/3/2015,631.00,631.00,631.00,631.00,-2.92,893,"563,483","563,483"
2/2/2015,650.00,,,650.00,0.00,0,0,0
1/30/2015,650.00,650.00,650.00,650.00,0.00,32,"20,800","20,800"
1/29/2015,650.00,,,650.00,0.00,0,0,0
1/28/2015,650.00,,,650.00,0.00,0,0,0
1/27/2015,650.00,,,650.00,0.00,0,0,0
1/26/2015,650.00,,,650.00,0.00,0,0,0
1/23/2015,650.00,,,650.00,0.00,0,0,0
1/22/2015,650.00,650.00,650.00,650.00,-7.14,96,"62,400","62,400"
1/21/2015,700.00,,,700.00,0.00,0,0,0
1/20/2015,700.00,,,700.00,0.00,0,0,0
1/16/2015,700.00,,,700.00,0.00,0,0,0
1/15/2015,700.00,,,700.00,0.00,0,0,0
1/14/2015,700.00,,,700.00,0.00,0,0,0
1/13/2015,700.00,,,700.00,0.00,0,0,0
1/12/2015,700.00,,,700.00,0.00,0,0,0
1/9/2015,700.00,,,700.00,0.00,0,0,0
1/8/2015,700.00,,,700.00,0.00,0,0,0
1/5/2015,700.00,,,700.00,0.00,0,0,0
1/2/2015,700.00,,,700.00,0.00,0,0,0
12/28/2018,"1,280.00",,,"1,274.11",0.00,0,0,0
12/27/2018,"1,280.00","1,280.00","1,260.00","1,274.11",1.93,"1,188","1,513,640","1,513,640"
12/26/2018,"1,250.00","1,250.00","1,250.00","1,250.00",1.54,"1,768","2,210,000","2,210,000"
12/25/2018,"1,231.00","1,231.00","1,231.00","1,231.00",-1.84,30,"36,930","36,930"
12/24/2018,"1,250.00",,,"1,254.08",0.00,0,0,0
12/21/2018,"1,250.00","1,260.00","1,250.00","1,254.08",0.33,282,"353,650","1,603,650"
12/20/2018,"1,250.00","1,250.00","1,250.00","1,250.00",-0.79,30,"37,500","37,500"
12/19/2018,"1,260.00","1,260.00","1,260.00","1,260.00",1.20,278,"350,280","350,280"
12/18/2018,"1,245.00","1,245.00","1,245.00","1,245.00",0.00,300,"373,500","373,500"
12/17/2018,"1,245.00","1,245.00","1,245.00","1,245.00",-1.97,63,"78,435","78,435"
12/14/2018,"1,270.00","1,270.00","1,270.00","1,270.00",-0.78,470,"596,900","596,900"
12/13/2018,"1,280.00",,,"1,280.00",0.00,0,0,0
12/12/2018,"1,280.00","1,280.00","1,280.00","1,280.00",2.78,5,"6,400","6,400"
12/11/2018,"1,250.00","1,250.00","1,244.00","1,245.37",1.00,598,"744,730","744,730"
12/10/2018,"1,244.00","1,244.00","1,211.00","1,233.00",-0.91,15,"18,495","18,495"
12/7/2018,"1,245.00","1,245.00","1,244.00","1,244.32",0.39,312,"388,228","388,228"
12/6/2018,"1,240.00","1,240.00","1,239.00","1,239.53",-0.36,190,"235,510","235,510"
12/5/2018,"1,244.00","1,244.00","1,244.00","1,244.00",-0.47,47,"58,468","58,468"
12/4/2018,"1,250.00",,,"1,249.87",0.00,0,0,0
12/3/2018,"1,250.00",,,"1,249.87",0.00,0,0,0
11/30/2018,"1,250.00","1,250.00","1,240.00","1,249.87",0.68,393,"491,200","491,200"
11/29/2018,"1,250.00","1,250.00","1,240.00","1,241.43",2.18,490,"608,300","608,300"
11/28/2018,"1,215.00","1,215.00","1,215.00","1,215.00",1.15,70,"85,050","85,050"
11/27/2018,"1,200.00","1,203.00","1,200.00","1,201.14",-0.29,"1,493","1,793,300","1,793,300"
11/26/2018,"1,200.00",,,"1,204.62",0.00,0,0,0
11/23/2018,"1,200.00",,,"1,204.62",0.00,0,0,0
11/22/2018,"1,200.00","1,220.00","1,200.00","1,204.62",-6.62,541,"651,700","651,700"
11/21/2018,"1,290.00",,,"1,290.00",0.00,0,0,0
11/20/2018,"1,290.00","1,290.00","1,290.00","1,290.00",2.94,10,"12,900","12,900"
11/19/2018,"1,255.00",,,"1,253.13",0.00,0,0,0
11/16/2018,"1,255.00","1,260.00","1,250.00","1,253.13",-2.17,"1,566","1,962,405","1,962,405"
11/15/2018,"1,280.00","1,290.00","1,280.00","1,280.90",-1.42,290,"371,460","371,460"
11/14/2018,"1,299.00",,,"1,299.39",0.00,0,0,0
11/13/2018,"1,299.00","1,300.00","1,299.00","1,299.39",-0.05,"1,028","1,335,772","1,335,772"
11/12/2018,"1,300.00","1,300.00","1,300.00","1,300.00",-0.83,100,"130,000","130,000"
11/9/2018,"1,320.00","1,320.00","1,300.00","1,310.93",-0.66,604,"791,800","791,800"
11/8/2018,"1,350.00","1,350.00","1,298.00","1,319.67",4.72,720,"950,160","950,160"
11/7/2018,"1,253.00","1,295.00","1,253.00","1,260.21",-3.05,204,"257,082","257,082"
11/6/2018,"1,300.00",,,"1,299.88",0.00,0,0,"6,604,000"
11/5/2018,"1,300.00","1,300.00","1,299.00","1,299.88",-0.01,320,"415,960","415,960"
11/2/2018,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,631,"820,300","820,300"
11/1/2018,"1,300.00","1,300.00","1,300.00","1,300.00",0.00,20,"26,000","26,000"
10/31/2018,"1,300.00",,,"1,300.00",0.00,0,0,0
10/30/2018,"1,300.00",,,"1,300.00",0.00,0,0,0
10/29/2018,"1,300.00","1,300.00","1,300.00","1,300.00",9.70,15,"19,500","19,500"
10/26/2018,"1,185.00","1,185.00","1,185.00","1,185.00",-2.99,100,"118,500","118,500"
