Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,749.00,,,749.00,0.00,0,0,0
12/29/2014,749.00,749.00,749.00,749.00,8.55,50,"37,450","37,450"
12/26/2014,690.00,,,690.00,0.00,0,0,0
12/25/2014,690.00,,,690.00,0.00,0,0,0
12/24/2014,690.00,,,690.00,0.00,0,0,0
12/23/2014,690.00,,,690.00,0.00,0,0,0
12/22/2014,690.00,,,690.00,0.00,0,0,0
12/19/2014,690.00,,,690.00,0.00,0,0,0
12/18/2014,690.00,,,690.00,0.00,0,0,0
12/17/2014,690.00,,,690.00,0.00,0,0,0
12/16/2014,690.00,690.00,690.00,690.00,-8.73,318,"219,420","219,420"
12/15/2014,790.00,,,756.00,0.00,0,0,0
12/12/2014,790.00,,,756.00,0.00,0,0,0
12/11/2014,790.00,790.00,750.00,756.00,0.80,20,"15,120","15,120"
12/10/2014,750.00,,,750.00,0.00,0,0,0
12/9/2014,750.00,,,750.00,0.00,0,0,0
12/5/2014,750.00,750.00,750.00,750.00,-0.40,30,"22,500","22,500"
12/4/2014,753.00,753.00,753.00,753.00,-9.95,25,"18,825","18,825"
12/2/2014,837.00,,,836.20,0.00,0,0,0
12/1/2014,837.00,,,836.20,0.00,0,0,0
11/28/2014,837.00,,,836.20,0.00,0,0,0
11/27/2014,837.00,837.00,836.00,836.20,-0.10,264,"220,757","220,757"
11/26/2014,837.00,,,837.00,0.00,0,0,0
11/25/2014,837.00,837.00,837.00,837.00,9.95,60,"50,220","50,220"
11/24/2014,840.00,840.00,750.00,761.25,-0.75,160,"121,800","121,800"
11/21/2014,767.00,767.00,767.00,767.00,7.53,20,"15,340","15,340"
11/20/2014,710.00,730.00,710.00,713.32,-7.12,182,"129,824","129,824"
11/19/2014,768.00,,,768.00,0.00,0,0,0
11/18/2014,768.00,,,768.00,0.00,0,0,0
11/17/2014,768.00,768.00,768.00,768.00,9.90,10,"7,680","7,680"
12/29/2016,908.00,,,904.47,0.00,0,0,0
12/28/2016,908.00,,,904.47,0.00,0,0,0
12/27/2016,908.00,,,904.47,0.00,0,0,0
12/26/2016,908.00,,,904.47,0.00,0,0,0
12/23/2016,908.00,908.00,903.00,904.47,-0.06,251,"227,021","227,021"
12/22/2016,905.00,905.00,905.00,905.00,4.02,27,"24,435","24,435"
12/21/2016,870.00,,,870.00,0.00,0,0,0
12/20/2016,870.00,,,870.00,0.00,0,0,0
12/19/2016,870.00,870.00,870.00,870.00,-1.36,40,"34,800","34,800"
12/16/2016,882.00,,,882.00,0.00,0,0,0
12/15/2016,882.00,,,882.00,0.00,0,0,0
12/14/2016,882.00,,,882.00,0.00,0,0,0
12/13/2016,882.00,,,882.00,0.00,0,0,0
12/12/2016,882.00,,,882.00,0.00,0,0,0
12/9/2016,882.00,,,882.00,0.00,0,0,0
12/7/2016,882.00,882.00,882.00,882.00,-2.97,200,"176,400","176,400"
12/6/2016,909.00,,,909.00,0.00,0,0,0
12/5/2016,909.00,,,909.00,0.00,0,0,0
12/2/2016,909.00,909.00,909.00,909.00,-2.57,100,"90,900","90,900"
12/1/2016,933.00,933.00,933.00,933.00,-0.43,20,"18,660","18,660"
11/29/2016,937.00,937.00,937.00,937.00,0.00,200,"187,400","187,400"
11/28/2016,937.00,937.00,937.00,937.00,-9.99,18,"16,866","16,866"
11/25/2016,"1,041.00","1,041.00","1,041.00","1,041.00",-0.13,80,"83,280","83,280"
11/24/2016,"1,042.00",,,"1,042.40",0.00,0,0,0
11/23/2016,"1,042.00",,,"1,042.40",0.00,0,0,0
11/22/2016,"1,042.00",,,"1,042.40",0.00,0,0,0
11/21/2016,"1,042.00",,,"1,042.40",0.00,0,0,0
11/18/2016,"1,042.00","1,073.00","1,042.00","1,042.40",0.05,767,"799,524","799,524"
11/17/2016,"1,042.00","1,042.00","1,041.00","1,041.89",-0.01,219,"228,173","228,173"
11/16/2016,"1,042.00","1,042.00","1,042.00","1,042.00",9.92,31,"32,302","32,302"
11/15/2016,948.00,948.00,948.00,948.00,9.98,40,"37,920","37,920"
11/14/2016,862.00,,,862.00,0.00,0,0,0
11/11/2016,862.00,862.00,862.00,862.00,2.99,334,"287,908","287,908"
11/10/2016,837.00,,,837.00,0.00,0,0,0
11/9/2016,837.00,,,837.00,0.00,0,0,0
11/8/2016,837.00,,,837.00,0.00,0,0,0
