Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/29/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/26/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/25/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/24/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/23/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/22/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/19/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/18/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/17/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/16/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/15/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/12/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/11/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/10/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/9/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/5/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/4/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/2/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
12/1/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
11/28/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
11/27/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
11/26/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
11/25/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
11/24/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
11/21/2014,"22,850.00",,,"22,850.00",0.00,0,0,0
11/20/2014,"22,850.00","22,850.00","22,850.00","22,850.00",1.56,10,"228,500","228,500"
11/19/2014,"22,500.00",,,"22,500.00",0.00,0,0,0
11/18/2014,"22,500.00",,,"22,500.00",0.00,0,0,0
11/17/2014,"22,500.00",,,"22,500.00",0.00,0,0,0
12/29/2016,"22,550.00",,,"22,550.00",0.00,0,0,0
12/28/2016,"22,550.00","22,550.00","22,550.00","22,550.00",2.50,10,"225,500","225,500"
12/27/2016,"22,000.00",,,"22,000.00",0.00,0,0,0
