Date,LastTradePrice,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,TotalTurnover
12/30/2014,"9,001.00",,,"9,001.00",0.00,0,0,0
12/29/2014,"9,001.00","9,001.00","9,001.00","9,001.00",0.01,9,"81,009","81,009"
12/26/2014,"9,000.00",,,"9,000.00",0.00,0,0,0
12/25/2014,"9,000.00","9,000.00","9,000.00","9,000.00",0.00,4,"36,000","36,000"
12/24/2014,"9,000.00","9,000.00","9,000.00","9,000.00",4.65,30,"270,000","270,000"
12/23/2014,"8,600.00",,,"8,600.00",0.00,0,0,0
12/22/2014,"8,600.00","8,600.00","8,600.00","8,600.00",0.00,10,"86,000","86,000"
12/19/2014,"8,600.00",,,"8,600.00",0.00,0,0,0
12/18/2014,"8,600.00","8,600.00","8,600.00","8,600.00",0.00,15,"129,000","129,000"
12/17/2014,"8,600.00",,,"8,600.00",0.00,0,0,0
12/16/2014,"8,600.00","8,600.00","8,600.00","8,600.00",0.00,11,"94,600","94,600"
12/15/2014,"8,600.00","8,600.00","8,600.00","8,600.00",1.12,27,"232,200","232,200"
12/12/2014,"8,505.00",,,"8,505.00",0.00,0,0,0
12/11/2014,"8,505.00",,,"8,505.00",0.00,0,0,0
12/10/2014,"8,505.00",,,"8,505.00",0.00,0,0,0
12/9/2014,"8,505.00","8,505.00","8,505.00","8,505.00",0.06,3,"25,515","25,515"
12/5/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
12/4/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
12/2/2014,"8,500.00","8,500.00","8,500.00","8,500.00",0.00,25,"212,500","212,500"
12/1/2014,"8,500.00","8,500.00","8,500.00","8,500.00",0.00,17,"144,500","144,500"
11/28/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
11/27/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
11/26/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
11/25/2014,"8,500.00","8,500.00","8,500.00","8,500.00",0.00,50,"425,000","425,000"
11/24/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
11/21/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
11/20/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
11/19/2014,"8,500.00",,,"8,500.00",0.00,0,0,0
11/18/2014,"8,500.00","8,500.00","8,500.00","8,500.00",0.00,5,"42,500","42,500"
11/17/2014,"8,500.00","8,500.00","8,500.00","8,500.00",1.19,50,"425,000","425,000"
12/29/2016,"8,755.00",,,"8,755.00",0.00,0,0,0
12/28/2016,"8,755.00",,,"8,755.00",0.00,0,0,0
12/27/2016,"8,755.00",,,"8,755.00",0.00,0,0,0
12/26/2016,"8,755.00",,,"8,755.00",0.00,0,0,0
12/23/2016,"8,755.00","8,755.00","8,755.00","8,755.00",3.00,10,"87,550","87,550"
12/22/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
12/21/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
12/20/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
12/19/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
12/16/2016,"8,500.00","8,500.00","8,500.00","8,500.00",0.00,2,"17,000","17,000"
12/15/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
12/14/2016,"8,500.00","8,500.00","8,500.00","8,500.00",3.03,4,"34,000","34,000"
12/13/2016,"8,250.00","8,250.00","8,250.00","8,250.00",-5.75,2,"16,500","16,500"
12/12/2016,"8,750.00",,,"8,753.11",0.00,0,0,0
12/9/2016,"8,750.00",,,"8,753.11",0.00,0,0,0
12/7/2016,"8,750.00","8,755.00","8,750.00","8,753.11",2.98,74,"647,730","647,730"
12/6/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
12/5/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
12/2/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
12/1/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
11/29/2016,"8,500.00","8,500.00","8,500.00","8,500.00",0.00,3,"25,500","25,500"
11/28/2016,"8,500.00","8,500.00","8,500.00","8,500.00",3.09,10,"85,000","85,000"
11/25/2016,"8,245.00",,,"8,245.00",0.00,0,0,0
11/24/2016,"8,245.00",,,"8,245.00",0.00,0,0,0
11/23/2016,"8,245.00","8,245.00","8,245.00","8,245.00",-3.00,10,"82,450","82,450"
11/22/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
11/21/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
11/18/2016,"8,500.00",,,"8,500.00",0.00,0,0,0
11/17/2016,"8,500.00","8,500.00","8,500.00","8,500.00",0.83,50,"425,000","425,000"
11/16/2016,"8,430.00",,,"8,430.00",0.00,0,0,0
11/15/2016,"8,430.00","8,430.00","8,430.00","8,430.00",1.57,23,"193,890","193,890"
11/14/2016,"8,300.00",,,"8,300.00",0.00,0,0,0
11/11/2016,"8,300.00","8,300.00","8,300.00","8,300.00",0.00,7,"58,100","58,100"
11/10/2016,"8,300.00","8,300.00","8,300.00","8,300.00",1.22,5,"41,500","41,500"
11/9/2016,"8,200.00",,,"8,200.00",0.00,0,0,0
11/8/2016,"8,200.00","8,200.00","8,200.00","8,200.00",0.00,16,"131,200","131,200"
11/7/2016,"8,200.00","8,200.00","8,200.00","8,200.00",0.00,3,"24,600","24,600"
11/4/2016,"8,200.00",,,"8,200.00",0.00,0,0,0
11/3/2016,"8,200.00",,,"8,200.00",0.00,0,0,0
11/2/2016,"8,200.00",,,"8,200.00",0.00,0,0,0
11/1/2016,"8,200.00",,,"8,200.00",0.00,0,0,0
10/31/2016,"8,200.00",,,"8,200.00",0.00,0,0,0
10/28/2016,"8,200.00","8,200.00","8,200.00","8,200.00",-1.71,5,"41,000","41,000"
10/27/2016,"8,343.00","8,343.00","8,343.00","8,343.00",3.00,6,"50,058","50,058"
10/26/2016,"8,100.00","8,100.00","8,100.00","8,100.00",-2.91,6,"48,600","48,600"
10/25/2016,"8,343.00",,,"8,343.00",0.00,0,0,0
10/21/2016,"8,343.00",,,"8,343.00",0.00,0,0,0
10/20/2016,"8,343.00",,,"8,343.00",0.00,0,0,0
10/19/2016,"8,343.00","8,343.00","8,343.00","8,343.00",3.00,8,"66,744","66,744"
10/18/2016,"8,100.00",,,"8,100.00",0.00,0,0,0
10/17/2016,"8,100.00","8,100.00","8,100.00","8,100.00",0.00,3,"24,300","24,300"
10/14/2016,"8,100.00","8,100.00","8,100.00","8,100.00",-2.41,5,"40,500","40,500"
10/13/2016,"8,300.00",,,"8,300.00",0.00,0,0,0
10/12/2016,"8,300.00",,,"8,300.00",0.00,0,0,0
10/10/2016,"8,300.00","8,300.00","8,300.00","8,300.00",-0.48,5,"41,500","41,500"
10/7/2016,"8,340.00",,,"8,340.00",0.00,0,0,0
10/6/2016,"8,340.00",,,"8,340.00",0.00,0,0,0
10/5/2016,"8,340.00","8,340.00","8,340.00","8,340.00",-0.04,17,"141,780","141,780"
10/4/2016,"8,343.00",,,"8,343.00",0.00,0,0,0
10/3/2016,"8,343.00",,,"8,343.00",0.00,0,0,0
9/30/2016,"8,343.00",,,"8,343.00",0.00,0,0,0
